"rgn_id","species_name","IUCN"
14,"Lota lota","NT"
15,"Lota lota","NT"
16,"Lota lota","NT"
17,"Lota lota","NT"
36,"Lota lota","NT"
26,"Lota lota","NT"
1,"Lumpenus lampretaeformis","LC"
2,"Lumpenus lampretaeformis","LC"
5,"Lumpenus lampretaeformis","LC"
6,"Lumpenus lampretaeformis","LC"
32,"Lumpenus lampretaeformis","LC"
33,"Lumpenus lampretaeformis","LC"
34,"Lumpenus lampretaeformis","LC"
9,"Lumpenus lampretaeformis","LC"
10,"Lumpenus lampretaeformis","LC"
7,"Lumpenus lampretaeformis","LC"
8,"Lumpenus lampretaeformis","LC"
3,"Lumpenus lampretaeformis","LC"
3,"Lumpenus lampretaeformis","LC"
4,"Lumpenus lampretaeformis","LC"
39,"Lumpenus lampretaeformis","LC"
40,"Lumpenus lampretaeformis","LC"
37,"Lumpenus lampretaeformis","LC"
38,"Lumpenus lampretaeformis","LC"
35,"Lumpenus lampretaeformis","LC"
36,"Lumpenus lampretaeformis","LC"
29,"Lumpenus lampretaeformis","LC"
30,"Lumpenus lampretaeformis","LC"
31,"Lumpenus lampretaeformis","LC"
14,"Lumpenus lampretaeformis","LC"
15,"Lumpenus lampretaeformis","LC"
16,"Lumpenus lampretaeformis","LC"
17,"Lumpenus lampretaeformis","LC"
11,"Lumpenus lampretaeformis","LC"
12,"Lumpenus lampretaeformis","LC"
13,"Lumpenus lampretaeformis","LC"
36,"Lumpenus lampretaeformis","LC"
26,"Lumpenus lampretaeformis","LC"
5,"Melanogrammus aeglefinus","NT"
6,"Melanogrammus aeglefinus","NT"
1,"Melanogrammus aeglefinus","NT"
2,"Melanogrammus aeglefinus","NT"
3,"Melanogrammus aeglefinus","NT"
4,"Melanogrammus aeglefinus","NT"
1,"Merlangius merlangus","VU"
2,"Merlangius merlangus","VU"
5,"Merlangius merlangus","VU"
6,"Merlangius merlangus","VU"
9,"Merlangius merlangus","VU"
10,"Merlangius merlangus","VU"
7,"Merlangius merlangus","VU"
8,"Merlangius merlangus","VU"
3,"Merlangius merlangus","VU"
3,"Merlangius merlangus","VU"
4,"Merlangius merlangus","VU"
14,"Merlangius merlangus","VU"
15,"Merlangius merlangus","VU"
16,"Merlangius merlangus","VU"
17,"Merlangius merlangus","VU"
11,"Merlangius merlangus","VU"
12,"Merlangius merlangus","VU"
13,"Merlangius merlangus","VU"
5,"Merluccius merluccius","NT"
6,"Merluccius merluccius","NT"
1,"Merluccius merluccius","NT"
2,"Merluccius merluccius","NT"
1,"Molva molva","EN"
2,"Molva molva","EN"
5,"Molva molva","EN"
6,"Molva molva","EN"
18,"Myoxocephalus scorpius","LC"
19,"Myoxocephalus scorpius","LC"
1,"Myoxocephalus scorpius","LC"
2,"Myoxocephalus scorpius","LC"
5,"Myoxocephalus scorpius","LC"
6,"Myoxocephalus scorpius","LC"
32,"Myoxocephalus scorpius","LC"
33,"Myoxocephalus scorpius","LC"
34,"Myoxocephalus scorpius","LC"
27,"Myoxocephalus scorpius","LC"
28,"Myoxocephalus scorpius","LC"
9,"Myoxocephalus scorpius","LC"
10,"Myoxocephalus scorpius","LC"
7,"Myoxocephalus scorpius","LC"
8,"Myoxocephalus scorpius","LC"
3,"Myoxocephalus scorpius","LC"
3,"Myoxocephalus scorpius","LC"
4,"Myoxocephalus scorpius","LC"
39,"Myoxocephalus scorpius","LC"
40,"Myoxocephalus scorpius","LC"
37,"Myoxocephalus scorpius","LC"
38,"Myoxocephalus scorpius","LC"
35,"Myoxocephalus scorpius","LC"
36,"Myoxocephalus scorpius","LC"
29,"Myoxocephalus scorpius","LC"
30,"Myoxocephalus scorpius","LC"
31,"Myoxocephalus scorpius","LC"
14,"Myoxocephalus scorpius","LC"
15,"Myoxocephalus scorpius","LC"
16,"Myoxocephalus scorpius","LC"
17,"Myoxocephalus scorpius","LC"
11,"Myoxocephalus scorpius","LC"
12,"Myoxocephalus scorpius","LC"
13,"Myoxocephalus scorpius","LC"
36,"Myoxocephalus scorpius","LC"
26,"Myoxocephalus scorpius","LC"
20,"Myoxocephalus scorpius","LC"
21,"Myoxocephalus scorpius","LC"
22,"Myoxocephalus scorpius","LC"
23,"Myoxocephalus scorpius","LC"
24,"Myoxocephalus scorpius","LC"
25,"Myoxocephalus scorpius","LC"
1,"Nerophis lumbriciformis","LC"
2,"Nerophis lumbriciformis","LC"
5,"Nerophis lumbriciformis","LC"
6,"Nerophis lumbriciformis","LC"
18,"Pelecus cultratus","LC"
19,"Pelecus cultratus","LC"
18,"Pelecus cultratus","LC"
19,"Pelecus cultratus","LC"
22,"Pelecus cultratus","LC"
23,"Pelecus cultratus","LC"
32,"Pelecus cultratus","LC"
33,"Pelecus cultratus","LC"
34,"Pelecus cultratus","LC"
1,"Petromyzon marinus","VU"
2,"Petromyzon marinus","VU"
5,"Petromyzon marinus","VU"
6,"Petromyzon marinus","VU"
14,"Petromyzon marinus","VU"
15,"Petromyzon marinus","VU"
16,"Petromyzon marinus","VU"
