name_csv,BSPA_ID,status_csv,name_shape,BHI_ID,country,date_est,mpa_area_km2,eez_area_km2
Akmensrags,308,Designated,Akmensrags,24,Latvia,16.1.2013,258.29,20977.58487
Irbes saurums,307,Designated,Irbes saurums,25,Latvia,16.1.2013,1724.12,5414.05646
Irbes saurums,307,Designated,Irbes saurums,28,Latvia,16.1.2013,1724.12,10774.55332
Irbes saurums,307,Designated,Irbes saurums,24,Latvia,16.1.2013,1724.12,20977.58487
Irbes saurums,307,Designated,Irbes saurums,27,Latvia,16.1.2013,1724.12,7993.91788
Nida-Perkone,309,Designated,Nida-Perkone,24,Latvia,16.1.2013,367.03,20977.58487
Selga uz rietumiem no Tujas,305,Designated,Selga uz rietumiem no Tujas,27,Latvia,16.1.2013,586,7993.91788
Vitrupe-Tuja,304,Designated,Vitrupe-Tuja,27,Latvia,16.1.2013,35.77,7993.91788
Rigas lica rietumu piekraste,306,Designated,Rigas lica rietumu piekraste,27,Latvia,16.1.2013,1321.72,7993.91788
Lawica Slupska,87,Designated,Lawica Slupska,17,Poland,31.12.2009,800.50296875,17334.97259
Anholt og havet nord for,244,Designated_and_managed,Anholt og havet nord for,2,Denmark,6.4.2009,478.78,15300.69996
Centrale Storeb<e6>lt og Vresen,249,Designated_and_managed,Centrale Storebælt og Vresen,3,Denmark,10.9.2009,623.11,10369.11323
Kursiu Marios Biosphere Polygon,310,Designated_and_managed,Kursiu Marios Biosphere Polygon,23,Lithuania,17.9.2009,311.38,6139.73941
Kursiu Marios Biosphere Polygon,310,Designated_and_managed,Kursiu Marios Biosphere Polygon,22,Lithuania,17.9.2009,311.38,9466.30104
Baltic Sea Biosphere Polygon,311,Designated,Baltic Sea Biosphere Polygon,23,Lithuania,23.5.2013,319.59,6139.73941
Baltic Sea Biosphere Polygon,311,Designated,Baltic Sea Biosphere Polygon,22,Lithuania,23.5.2013,319.59,9466.30104
