Provplats;Stat Id;Län;Art;Organ;Original Id;Provdatum;;Ålder (år);Längd (cm);Vikt (g);Torrvikt %;Extrlip (fetthalt) %;PCB-28 mg/kg lw;*;PCB-52 mg/kg lw;*;PCB-101 mg/kg lw;*;PCB-118 mg/kg lw;*;PCB-138 mg/kg lw;*;PCB-153 mg/kg lw;*;PCB-180 mg/kg lw;*;Summa PCB (kapillär kolonn) mg/kg lw;*;Summa PCB (packad kolonn) mg/kg lw;*;PCB-31 mg/kg lw;*;PCB-77 mg/kg lw;*;PCB-105 mg/kg lw;*;PCB-110 mg/kg lw;*;PCB-126 mg/kg lw;*;PCB-149 mg/kg lw;*;PCB-156 mg/kg lw;*;PCB-157 mg/kg lw;*;PCB-158 mg/kg lw;*;PCB-167 mg/kg lw;*;PCB-169 mg/kg lw;*
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1992/02602;29/09/92;;4;23;85;26.8;5.34;0.007;;0.014;;;;0.039;;0.071;;0.075;;0.02;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1992/02597;29/09/92;;4;20;66;19.1;0.94;0.015;;0.063;;;;0.19;;0.41;;0.45;;0.12;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1992/02599;29/09/92;;4;21;59;22;2.32;0.012;;0.026;;;;0.069;;0.15;;0.18;;0.041;;0.47;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01772;07/10/92;;3;15;21;22.4;3.03;;;0.006;;0.02;;0.023;;0.039;;0.044;;0.018;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01775;07/10/92;;3;16;27;23.9;3.38;;;0.006;;0.021;;0.02;;0.045;;0.049;;0.02;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01769;07/10/92;;3;15;23;22;2.48;;;0.006;;0.02;;0.023;;0.042;;0.045;;0.018;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01762;07/10/92;;3;16;24;21.7;2.07;;;0.009;;0.042;;0.039;;0.099;;0.1;;0.045;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01776;07/10/92;;4;16;23;21.4;2.05;;;0.007;;0.036;;0.034;;0.079;;0.086;;0.035;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01764;07/10/92;;4;16;26;19.8;1.4;;;0.01;;0.063;;0.063;;0.17;;0.17;;0.076;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01760;07/10/92;;3;16;25;23.1;2.87;;;0.007;;0.021;;0.023;;0.045;;0.048;;0.02;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01766;07/10/92;;4;16;22;19;1.04;;;0.01;;0.053;;0.068;;0.18;;0.21;;0.087;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01778;07/10/92;;3;14;20;21.8;2.63;;;0.005;;0.01;;0.01;;0.024;;0.025;;0.01;;0.084;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01761;07/10/92;;3;15;23;22.2;3.17;;;0.006;;0.018;;0.02;;0.038;;0.039;;0.017;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01779;07/10/92;;4;17;30;20.5;1.73;;;0.015;;0.079;;0.074;;0.17;;0.19;;0.072;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01777;07/10/92;;3;17;30;20.9;1.65;;;0.008;;0.035;;0.028;;0.093;;0.1;;0.068;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01768;07/10/92;;4;16;29;22.4;3.58;;;0.011;;0.033;;0.035;;0.071;;0.07;;0.029;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01770;07/10/92;;4;17;28;21;1.9;;;0.011;;0.042;;0.045;;0.09;;0.095;;0.038;;0.32;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01765;07/10/92;;3;16;26;22.8;3.52;;;0.007;;0.023;;0.025;;0.046;;0.047;;0.02;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01774;07/10/92;;3;16;31;23.6;2.91;;;0.006;;0.022;;0.024;;0.048;;0.05;;0.02;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01773;07/10/92;;4;16;27;20.3;1.69;;;0.018;;0.066;;0.067;;0.14;;0.15;;0.062;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01771;07/10/92;;4;16;29;22.3;3.04;;;0.008;;0.027;;0.027;;0.052;;0.055;;0.024;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01767;07/10/92;;3;16;29;22.8;3.06;;;0.008;;0.025;;0.025;;0.056;;0.053;;0.022;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P1992/01763;07/10/92;;4;16;28;22.7;2.99;;;0.015;;0.066;;0.06;;0.14;;0.14;;0.058;;0.48;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02636;23/11/92;;3;20;54;21.9;2.41;0.01;;0.01;;0.035;;0.042;;0.083;;0.081;;0.013;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02652;23/11/92;;3;21;76;24.2;2.96;0.008;;0.006;;;;0.034;;0.067;;0.066;;0.012;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02655;23/11/92;;3;21;59;23.9;3.53;0.007;;0.004;;;;0.033;;0.068;;0.071;;0.013;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02654;23/11/92;;3;22;81;24.8;3.84;0.006;;0.004;;;;0.03;;0.056;;0.056;;0.009;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02641;23/11/92;;3;24;96;26.4;4.69;0.009;;;;;;0.023;;0.039;;0.038;;0.007;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02660;23/11/92;;3;23;95;25.3;3.73;0.005;;0.005;;;;0.027;;0.051;;0.05;;0.009;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02659;23/11/92;;3;23;83;24.9;3.37;0.004;;0.011;;;;0.023;;0.041;;0.039;;0.008;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02658;23/11/92;;3;22;69;21.2;3.5;0.004;;0.003;;;;0.019;;0.036;;0.036;;0.006;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02640;23/11/92;;3;23;109;27.1;4.41;0.011;;0.002;;;;0.038;;0.066;;0.066;;0.012;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02653;23/11/92;;3;23;95;24.5;3.96;0.006;;;;;;0.029;;0.057;;0.057;;0.011;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02644;23/11/92;;3;23;91;27.1;5.85;0.012;;0.002;;0.046;;0.049;;0.1;;0.099;;0.019;;0.32;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02651;23/11/92;;3;22;79;31.9;2.96;0.006;;0.009;;;;0.032;;0.066;;0.065;;0.015;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02647;23/11/92;;3;23;99;27.8;7.69;0.01;;0.002;;;;0.027;;0.046;;0.044;;0.007;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02637;23/11/92;;3;21;62;21.3;2;0.012;;0.016;;0.062;;0.063;;0.12;;0.12;;0.024;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02650;23/11/92;;3;20;60;23.3;2.42;0.007;;0.009;;;;0.036;;0.069;;0.069;;0.014;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02656;23/11/92;;3;23;101;25.6;4.43;0.009;;0.008;;;;0.044;;0.092;;0.088;;0.017;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02642;23/11/92;;3;24;113;27.9;4.97;0.012;;0.002;;0.023;;0.023;;0.035;;0.036;;0.006;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02646;23/11/92;;3;23;93;27.6;6.67;0.008;;;;0.016;;0.02;;0.032;;0.031;;0.006;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02638;23/11/92;;3;22;79;26.3;3.56;0.007;;0.005;;;;0.029;;0.047;;0.045;;0.008;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02649;23/11/92;;3;21;71;25.4;4.42;0.005;;0.004;;;;0.028;;0.06;;0.061;;0.011;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02643;23/11/92;;3;22;83;25.5;4.23;0.011;;;;0.027;;0.029;;0.061;;0.057;;0.01;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02639;23/11/92;;3;22;71;23.8;2.64;0.016;;0.011;;;;0.042;;0.08;;0.075;;0.014;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02645;23/11/92;;3;21;70;23.2;2.36;0.015;;0.01;;;;0.034;;0.064;;0.061;;0.011;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02657;23/11/92;;3;21;74;23.2;2.56;0.007;;0.009;;;;0.03;;0.056;;0.057;;0.009;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1992/02648;23/11/92;;3;23;91;25.7;4.35;0.01;;;;;;0.03;;0.043;;0.044;;0.006;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01055;15/04/93;;3;19;41;;3.62;0.007;;0.031;;0.082;;0.073;;0.13;;0.13;;0.038;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01059;15/04/93;;3;19;34;;0.84;0.018;;0.11;;0.52;;0.44;;1;;1.1;;0.26;;3.4;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01069;15/04/93;;3;17;28;;1.53;0.005;;0.038;;0.15;;0.16;;0.34;;0.37;;0.12;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01068;15/04/93;;3;18;37;;1.88;0.011;;0.04;;0.12;;0.094;;0.2;;0.22;;0.063;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01058;15/04/93;;3;19;43;;1.77;0.008;;0.057;;0.17;;0.15;;0.28;;0.3;;0.09;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01054;15/04/93;;3;19;40;;4.39;0.006;;0.025;;0.064;;0.044;;0.098;;0.11;;0.03;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01063;15/04/93;;3;18;38;;3.35;0.009;;0.039;;0.11;;0.087;;0.17;;0.19;;0.055;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01056;15/04/93;;3;19;47;;2.81;0.016;;0.064;;0.16;;0.14;;0.26;;0.28;;0.073;;0.99;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01052;15/04/93;;3;17;33;;4.76;0.009;;0.035;;0.08;;0.064;;0.12;;0.13;;0.033;;0.47;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01053;15/04/93;;3;18;33;;1.24;0.007;;0.045;;0.22;;0.25;;0.49;;0.52;;0.14;;1.7;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01065;15/04/93;;3;17;32;;3.38;0.011;;0.042;;0.1;;0.083;;0.16;;0.17;;0.044;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01057;15/04/93;;3;19;43;;2.11;0.017;;0.12;;0.34;;0.3;;0.49;;0.51;;0.14;;1.9;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01066;15/04/93;;3;17;35;;2.37;0.006;;0.039;;0.14;;0.12;;0.24;;0.26;;0.074;;0.88;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01060;15/04/93;;3;18;43;;3.34;0.01;;0.045;;0.12;;0.087;;0.19;;0.21;;0.054;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01062;15/04/93;;3;19;45;;2.75;0.013;;0.047;;0.14;;0.11;;0.25;;0.27;;0.076;;0.91;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01050;15/04/93;;3;18;37;;1.41;0.013;;0.054;;0.16;;0.12;;0.31;;0.35;;0.1;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01061;15/04/93;;3;19;43;;1.9;0.012;;0.046;;0.15;;0.12;;0.25;;0.27;;0.076;;0.92;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01067;15/04/93;;3;18;34;;2.93;0.009;;0.03;;0.075;;0.055;;0.12;;0.12;;0.032;;0.44;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01064;15/04/93;;3;17;27;;1.24;0.005;;0.04;;0.14;;0.13;;0.3;;0.32;;0.099;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1993/01051;15/04/93;;3;18;37;;2.85;0.005;;0.028;;0.077;;0.066;;0.13;;0.14;;0.041;;0.49;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01359;16/06/93;;4;20;52;;3.3;0.007;;0.025;;0.082;;0.091;;0.18;;0.19;;0.073;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01343;16/06/93;;4;20;54;;4.16;0.007;;0.023;;0.086;;0.11;;0.23;;0.28;;0.089;;0.82;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01344;16/06/93;;4;19;48;;2.5;0.009;;0.03;;0.11;;0.12;;0.24;;0.29;;0.11;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01353;16/06/93;;4;17;37;;5.64;0.005;;0.013;;0.04;;0.046;;0.092;;0.099;;0.042;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01350;16/06/93;;4;18;41;;3.85;0.006;;0.017;;0.051;;0.057;;0.1;;0.12;;0.042;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01354;16/06/93;;4;18;40;;4.09;0.01;;0.048;;0.14;;0.15;;0.31;;0.35;;0.14;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01352;16/06/93;;4;18;44;;5.72;0.005;;0.018;;0.044;;0.051;;0.091;;0.093;;0.04;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01346;16/06/93;;4;19;46;;3.68;0.009;;0.026;;0.11;;0.084;;0.29;;0.36;;0.2;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01349;16/06/93;;4;18;39;;5.99;0.009;;0.033;;0.077;;0.083;;0.16;;0.18;;0.07;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01342;16/06/93;;4;20;59;;2.15;0.14;;0.033;;0.39;;0.17;;1.4;;1.9;;1.5;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01358;16/06/93;;4;18;41;;4.81;0.008;;0.029;;0.079;;0.08;;0.16;;0.18;;0.085;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01348;16/06/93;;4;20;42;;4.42;0.007;;0.02;;0.055;;0.057;;0.11;;0.13;;0.055;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01345;16/06/93;;4;18;41;;3.66;0.008;;0.026;;0.081;;0.098;;0.18;;0.22;;0.07;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01341;16/06/93;;4;18;43;;3.66;0.014;;0.04;;0.12;;0.14;;0.28;;0.32;;0.12;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01351;16/06/93;;4;18;37;;2.91;0.007;;0.02;;0.065;;0.07;;0.14;;0.15;;0.069;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01357;16/06/93;;4;19;46;;3.09;0.006;;0.022;;0.071;;0.076;;0.15;;0.16;;0.062;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01356;16/06/93;;4;17;33;;3.4;0.007;;0.021;;0.068;;0.071;;0.15;;0.17;;0.076;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01355;16/06/93;;4;18;40;;3.8;0.006;;0.019;;0.1;;0.11;;0.22;;0.27;;0.11;;0.82;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01360;16/06/93;;4;18;46;;4.3;0.007;;0.017;;0.049;;0.055;;0.1;;0.1;;0.043;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1993/01347;16/06/93;;4;19;49;;3.11;0.014;;0.046;;0.16;;0.2;;0.39;;0.47;;0.16;;1.4;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03207;23/09/93;;3;18;40;25.1;2.74;0.004;;0.008;;0.022;;0.025;;0.047;;0.049;;0.007;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03209;23/09/93;;3;18;45;22.5;1.58;0.005;;0.004;;0.037;;0.042;;0.094;;0.099;;0.016;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03217;23/09/93;;3;19;46;;1.99;0.004;;0.008;;0.026;;0.032;;0.066;;0.07;;0.012;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03204;23/09/93;;3;19;45;23.1;1.92;0.005;;0.011;;0.045;;0.044;;0.11;;0.12;;0.023;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03208;23/09/93;;3;17;40;23.2;1.78;0.005;;0.01;;0.037;;0.043;;0.097;;0.098;;0.017;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03221;23/09/93;;3;19;48;;2.25;0.006;;0.01;;0.029;;0.032;;0.062;;0.064;;0.008;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03206;23/09/93;;3;20;55;23.4;1.65;0.006;;0.009;;0.028;;0.03;;0.052;;0.055;;0.009;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03223;23/09/93;;3;19;52;;1.86;0.005;;0.011;;0.032;;0.038;;0.082;;0.087;;0.013;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03218;23/09/93;;3;19;45;;1.69;0.005;;0.011;;0.031;;0.034;;0.062;;0.07;;0.012;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03225;23/09/93;;3;19;49;;2.46;0.004;;0.007;;0.022;;0.03;;0.061;;0.061;;0.011;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03205;23/09/93;;3;19;49;22.4;1.49;0.005;;0.007;;0.027;;0.033;;0.066;;0.075;;0.013;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03219;23/09/93;;3;19;48;;2.15;0.005;;0.01;;0.036;;0.037;;0.092;;0.091;;0.023;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03226;23/09/93;;3;19;45;;1.12;0.007;;0.021;;0.07;;0.082;;0.17;;0.16;;0.042;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03202;23/09/93;;3;19;45;23.6;2.14;0.004;;0.008;;0.028;;0.03;;0.063;;0.063;;0.01;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03214;23/09/93;;3;19;43;;1.4;0.004;;0.009;;0.036;;0.036;;0.091;;0.094;;0.022;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03210;23/09/93;;3;19;45;22.8;1.73;0.01;;0.014;;0.064;;0.076;;0.17;;0.18;;0.027;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03203;23/09/93;;3;19;45;24.8;2.65;0.005;;0.008;;0.029;;0.031;;0.066;;0.07;;0.012;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03222;23/09/93;;3;19;48;;1.56;0.006;;0.012;;0.038;;0.041;;0.09;;0.096;;0.019;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03212;23/09/93;;3;19;46;;1.79;0.005;;0.007;;0.027;;0.031;;0.055;;0.058;;0.01;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03215;23/09/93;;3;18;42;;1.94;0.005;;0.01;;0.028;;0.03;;0.065;;0.07;;0.011;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03213;23/09/93;;3;19;46;;1.87;0.005;;0.008;;0.027;;0.029;;0.055;;0.058;;0.009;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03216;23/09/93;;3;19;44;;2.34;0.005;;0.009;;0.025;;0.03;;0.058;;0.064;;0.009;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03220;23/09/93;;3;20;49;;1.93;0.006;;0.013;;0.035;;0.037;;0.077;;0.081;;0.016;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03224;23/09/93;;3;18;43;;1.68;0.005;;0.009;;0.024;;0.029;;0.051;;0.057;;0.009;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1993/03211;23/09/93;;3;19;42;22.5;1.47;0.006;;0.01;;0.036;;0.04;;0.079;;0.084;;0.013;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P1993/02920;24/09/93;;4;17;33;48;4.41;0.01;;0.024;;0.051;;0.035;;0.075;;0.078;;0.024;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;
