latin_name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon;common_name
Cerastoderma edule;X;X;X;X;X;X;X;;;;X;;;;;;;;X;;X;X;X;X;X;X;;;;;;;
Cerastoderma glaucum;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;;X;X;X;X;X;X;X;;
Ceratocephale loveni;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerianthus lloydii;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cernosvitoviella immota;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Chaetoderma nitidulum;X;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
Chaetogaster diaphanus;;;;;;;;;;;;;;;;X;X;X;X;X;;;X;;;;;;X;;X;X;
Chaetogaster diastrophus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Chaetogaster langi;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;X;
Chaetogaster limnaei;;;;;;X;;;X;;;;;;;;X;X;;X;;;;;;;X;;X;;;X;
Chaetogaster setosus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Chaetopterus variopedatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chaetozone caputesocis;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chaetozone christiei;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chaetozone setosa;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Chalinula limbata;;;;X;X;X;X;;;;;;;;;;;;;;X;;;X;;;;;;;;;
Chamelea gallina;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chamelea striatula;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chaoborus flavicans;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;
Chartella barleei;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cheilotrichia cinerascens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Cheirocratus assimilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cheirocratus intermedius;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cheirocratus sundevalli;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Chelicorophium curvispinum;;;;;;;;;;;;;;;;;X;;;X;;;;;;;X;X;;;;X;
Chirona hameri;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chironomus (Camptochironomus) tentans;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Chironomus agilis;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
Chironomus annularius;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;
Chironomus anthracinus;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;
Chironomus aprilinus;;;X;X;;;;;;;;;X;X;X;X;X;;;;X;;;;;;;X;X;X;X;;
Chironomus balatonicus;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;X;
Chironomus cingulatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Chironomus dorsalis;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;;
Chironomus halophilus;;;X;X;;;;;;;;;X;X;;X;X;;;;X;;;;;;;;X;;;;
Chironomus neocorax;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;
Chironomus pallidivittatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Chironomus plumosus;;;;;;;;;;;;X;X;X;X;X;X;;;;;;;;;;X;X;X;X;X;X;
Chironomus reductus;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;X;
Chironomus salinarius;;;X;X;;;X;;;;;;;X;;;X;;;;X;;;;;;;X;;;;;
Chironomus semireductus;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;X;;;;X;
Chironomus thummi;;;;;;;;;;;;;;X;X;;X;;;;;;;;;;;;;;;X;
Chone duneri;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chone infundibuliformis;X;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chorizopora brongniartii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chrysallida interstincta;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chrysallida pellucida;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ciona intestinalis;X;;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Cirratulus cirratus;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cirratulus filiformis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cirriformia tentaculata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cladopelma edwardsi;;;;;;;;;;;;;;X;X;X;;;;;;;;;;;;;;;;;
Cladopelma lateralis;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
Cladopelma virescens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cladopelma viridula;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;
Cladotanytarsus atridorsum;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cladotanytarsus mancus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;
Clausinella fasciata;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clava multicornis;X;X;;X;X;X;X;;;;;;;;;;;;;X;X;X;X;;X;;;X;X;X;X;;
Clelandella miliaris;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clinotanypus nervosus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cliona celata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clitellio arenarius;;;;;X;X;X;X;X;;;;X;X;;;X;X;X;;X;X;;;;;;;;X;;;
Cloeon dipterum;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
Cloeon simile;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Clunio balticus;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clunio marinus;;X;;;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Clytia gracilis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clytia hemisphaerica;X;X;;;X;X;X;;;;;;;;;;;;;;X;;X;X;X;;;;;;;;
Cochlodesma praetenue;X;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coelogynopora biarmata;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;
Coelogynopora schulzii;;;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;
Coenagrion armatum;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Coenagrion hastulatum;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;X;
Coenagrion lunulatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Coenagrion puella;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;X;
Coenagrion pulchellum;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;X;;;;;
Cognettia glandulosa;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cognettia sphagnetorum;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;
Colpodaspis pusilla;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colus islandicus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colus jeffreysianus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Commensodorum commensalis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Conopeum reticulum;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Conopeum seurati;X;;;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;;;;
Copidognathus fabricii;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corbula gibba;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Cordulia aenea;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Cordylophora caspia;;X;;;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;;X;X;X;X;X;X;
Corella parallelogramma;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corophium acherusicum ;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corophium arenarium;X;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corophium multisetosum;;;X;X;;;X;X;;;;;;;;;;X;;;X;;;;;;;X;X;X;X;;
Corophium volutator;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Corymorpha nutans;X;;;X;X;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;
Corymorpha sarsii;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Corynoneura carriana;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Corynoneura celeripes;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Corynoneura scutellata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Coryphella lineata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corystes cassivelaunus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cossura longocirrata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crangon allmanni;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crangon crangon;X;X;X;X;X;X;X;X;X;X;X;;X;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;
Crassicorophium bonellii;X;X;X;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;
Crassicorophium crassicorne;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;;;X;X;;X;;;;;;;
Crenella decussata;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crepidula fornicata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cribrilina cryptooecium;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cribrilina punctata;;X;;;X;X;;;;;;;;;;;;;;;;;X;X;;;;;;;;;
Cricotopus albiforceps ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cricotopus algarum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Cricotopus bicinctus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;X;X;X;;
Cricotopus festivellus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cricotopus flavocinctus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cricotopus fuscus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cricotopus intersectus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;
Cricotopus ornatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;
Cricotopus pilosellus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cricotopus sylvestris;;;;;;;;;;;;;;X;;;X;;;;;;;;;;X;;;;;X;
Cricotopus trifascia;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Criodrilus lacuum;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Crisia aculeata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crisia calyptostoma;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crisia denticulata;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crisia eburnea;X;X;;;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Crisia klugei;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crisidia cornuta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crisiella producta;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crisilla semistriata;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cristatella mucedo;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Crossaster papposus;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cryptochironomus camptolabis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Cryptochironomus defectus;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;X;
Cryptochironomus monstrosus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Cryptochironomus obreptans;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cryptochironomus redekei;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cryptochironomus rolli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Cryptochironomus supplicans;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cryptochironomus tshernovskii ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cryptochironomus ussouriensis;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;
Cryptonatica affinis;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cryptosula pallasiana;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cumella (Cumella) pygmaea;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curtitoma trevelliana;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curveulima devians;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuspidaria cuspidata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuspidaria obesa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyanophthalma obscura;;X;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;;;X;X;X;X;X;
Cyathura carinata;X;X;X;X;X;X;X;X;;;;;;;;;;X;;X;X;X;X;;X;;;X;X;X;X;;
Cylichna alba;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cylichna cylindracea;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Cylichnina umbilicata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cymatia coleoptrata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cyrnus crenaticornis;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Cyrnus flavidus;;;;;;;;;;;;;X;;X;X;X;;;;;;;;;;;;;;;;
Cyrnus trimaculatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Cystobranchus fasciatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Cystobranchus pawlowskii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Dasybranchus caducus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deflexilodes tenuirostratus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demeijerea rufipes;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Demicryptochironomus vulneratus;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;X;;;;;
Dendrocoelum lacteum;;;;;;;X;;X;X;X;X;X;X;;;X;X;X;;;;;;X;;;;;;;X;
Dendrodoa grossularia;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Dendronotus frondosus;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Dero digitata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Deshayesorchestia deshayesii;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;
Dexamine spinosa;X;X;X;;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Diadumene cincta;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Diaphana minuta;X;X;X;;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Diastylis boecki;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastylis bradyi;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastylis cornuta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastylis goodsiri;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastylis laevis;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastylis lucifera;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastylis rathkei;X;X;X;X;X;X;X;X;X;X;X;;;;;;;X;;X;X;X;X;X;X;X;;;X;;;;
Diastylis rostrata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastylis rugosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastylis tumida;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastyloides biplicatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diastyloides serratus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dichelopandalus bonnieri;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dicoryne conferta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dicrotendipes lobiger;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;
Dicrotendipes nervosus;;;;;;;;;;;;;;X;X;;X;;;;;;;;;;X;X;;;;X;
Dicrotendipes pulsus;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;
Dicrotendipes tritomus;;;;;;;;;;;;;;;X;X;;;;;;;;;;;X;X;;;;X;
Dikerogammarus haemobaphes;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;
Dikerogammarus villosus;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Dina apathyi;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Dina lineata;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;X;
Diplocirrus glaucus;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diplosolen obelia;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diplosoma listerianum;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dipolydora caulleryi;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Dipolydora coeca;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Dipolydora giardi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dipolydora quadrilobata;X;X;X;X;X;X;X;X;;;;;X;;;;;;;;X;;X;X;;X;;;;;;;
Dipurena spongicola;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Discocelides langi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Disporella hispida;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodecaceria concharum;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Donax vittatus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doris pseudoargus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dosinia exoleta;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dosinia lupinus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doto coronata;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dreissena bugensis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Dreissena polymorpha;;;;;;;X;X;;;;;;;;;X;;X;X;;;;;X;;X;X;X;;X;X;
Drunella walkeri;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Dugesia lugubris;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;
Dugesia polychroa;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;
Dulichia falcata;;;;;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Dulichia tuberculata;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dynamena pumila;X;X;;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;X;;;
Dyopedos monacantha;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;;X;;;;;;;
Dyopedos porrectus;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dytiscus circumcinctus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Dytiscus marginalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Ebala nitidissima;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ebalia cranchii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ebalia granulosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ebalia tuberosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ebalia tumefacta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echinocardium cordatum;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echinocardium flavescens;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echinocardium pennatifidum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echinocucumis hispida;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echinocyamus pusillus;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Echinogammarus ischnus;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;
Echinogammarus marinus;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echinogammarus stoerensis;;X;;;;X;X;X;X;;X;;;;;;X;;;X;;;;;;;;;;;;;
Echinogammarus warpachowskyi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Echinozone coronata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echinus esculentus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echiurus echiurus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecnomus tenellus;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;X;;;;;
Ecrobia ventrosa;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;
Ectopleura larynx;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edwardsia danica;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Edwardsia longicornis;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edwardsia tuberculata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edwardsiella carnea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einfeldia carbonaria;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;
Einhornia crustulenta;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;;X;X;X;X;;
Eiseniella tetraedra;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;
Ekmania barthii;X;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Electra pilosa;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;;X;X;;X;;;;
Elophila nymphaeata;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;
Elysia viridis;;;;;;;;X;;;;;;;;;;;;;X;;X;;;;;;;;;;
Emarginula crassa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emarginula fissura;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enallagma cyathigerum;X;;;;;;;;;;;;;;;;X;X;;;;;;;;;X;X;;;;X;
Enchytraeus albidus;;;;;;X;X;X;;;;;;;;;;X;;;X;X;;;X;;;X;X;X;X;X;
Endeis spinosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Endochironomus albipennis;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;X;;;;;
Endochironomus dispar;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Endochironomus stackelbergi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Endochironomus tendens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Enipo elisabethae;;X;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Enipo kinbergi;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ennucula tenuis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enochrus fuscipennis;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
Enochrus melanicephalus;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
Ensis directus;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Ensis ensis;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ensis siliqua;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entalophoroecia deflexa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ephemera danica;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
Ephemera vulgata;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;
Ephemerella mucronata ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Ephesiella abyssorum;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ephoron virgo ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Ephydatia fluviatilis;;;;;;;;X;;;X;;;;;X;;;;X;;X;;;;;X;X;X;X;;X;
Ephydatia muelleri;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
Ephydra riparia;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epimeria cornigera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epitheca bimaculata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Epitonium clathratulum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epitonium clathrus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epitonium trevelyanum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epitonium turtonis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ericthonius difformis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Ericthonius punctatus;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Erinaceusyllis erinaceus;;;;;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
