latin_name;assessment_unit;helcom_category;iucn_criteria;taxa_group
Proceraea cornuta;Species;LC;;invert
Syllis cornuta;Species;LC;;invert
Megamphopus cornutus;Species;LC;;invert
Doto coronata;Species;NE;;invert
Echinozone coronata;Species;NE;;invert
Vaucheria coronata;Species;NE;;macrophytes
Tetrastemma coronatum;Species;LC;;invert
Pelonaia corrugata;Species;VU;D2;invert
Stagnicola corvus;Species;NE;;invert
Callithamnion corymbosum;Species;LC;;macrophytes
Orthotrichia costalis;Species;LC;;invert
Campylaspis costata;Species;LC;;invert
Heterochaeta costata;Species;LC;;invert
Mangelia costata;Species;LC;;invert
Placobdella costata;Species;LC;;invert
Proasellus coxalis;Species;LC;;invert
Ebalia cranchii;Species;LC;;invert
Eualus cranchii;Species;NE;;invert
Crangon crangon;Species;LC;;invert
Emarginula crassa;Species;LC;;invert
Polyphysia crassa;Species;NE;;invert
Crassicorophium crassicorne;Species;LC;;invert
Agrypnetes crassicornis;Species;DD;;invert
Noterus crassicornis;Species;LC;;invert
Metacnephia crassifistula;Species;NE;;invert
Stictochironomus crassiforceps;Species;NE;;invert
Laevicardium crassum;Species;LC;;invert
Pisidium crassum;Species;NE;;invert
Obesogammarus crassus;Species;NA;;invert
Unio crassus;Species;NE;;invert
Callopora craticula;Species;LC;;invert
Anas crecca;Wintering;LC;;wintering birds
Turbonilla crenata;Species;NE;;invert
Cyrnus crenaticornis;Species;LC;;invert
Balanus crenatus;Species;LC;;invert
Harpinia crenulata;Species;NE;;invert
Acinetospora crinita;Species;NE;;macrophytes
Phyllophora crispa;Species;LC;;macrophytes
Prasiola crispa;Species;LC;;macrophytes
Zirfaea crispata;Species;LC;;invert
Loxorhynchus crispatus;Species;LC;;invert
Chondrus crispus;Species;LC;;macrophytes
Potamogeton crispus;Species;LC;;macrophytes
Armiger crista;Species;LC;;invert
Hemilamprops cristata;Species;NE;;invert
Melinna cristata;Species;LC;;invert
Pista cristata;Species;LC;;invert
Valvata cristata;Species;LC;;invert
Callophyllis cristata;Species;NE;;macrophytes
Euthora cristata;Species;LC;;macrophytes
Podiceps cristatus;Breeding;LC;;breeding birds
Podiceps cristatus;Wintering;LC;;wintering birds
Hildenbrandia crouanii;Species;NE;;macrophytes
Lithophyllum crouaniorum;Species;LC;;macrophytes
Antithamnion cruciatum;Species;LC;;macrophytes
Vosmaeria crustacea;Species;LC;;invert
Einhornia crustulenta;Species;LC;;invert
Cribrilina cryptooecium;Species;LC;;invert
Lophopus crystallinus;Species;LC;;invert
Pagurus cuanensis;Species;LC;;invert
Chelidonichthys cuculus;Species;NA;;fish
Polypedilum cultellatum;Species;NE;;invert
Pelecus cultratus;Species;LC;;fish
Perinereis cultrifera;Species;LC;;invert
Sertularia cupressina;Species;LC;;invert
Harnischia curtilamellata;Species;LC;;invert
Rheotanytarsus curtistylus;Species;NE;;invert
Ulva curvata;Species;NE;;macrophytes
Uronema curvatum;Species;LC;;macrophytes
Micropsectra curvicornis;Species;NE;;invert
Chelicorophium curvispinum;Species;NA;;invert
Cuspidaria cuspidata;Species;LC;;invert
Enallagma cyathigerum;Species;LC;;invert
Epicladia cyclostoma;Species;NE;;macrophytes
Anodonta cygnea;Species;NE;;invert
Cygnus cygnus;Wintering;LC;;wintering birds
Cylichna cylindracea;Species;LC;;invert
Peachia cylindrica;Species;LC;;invert
Lumbriclymene cylindricaudata;Species;NE;;invert
Glyptocephalus cynoglossus;Species;LC;;fish
Acrochaetium cytophagum;Species;NE;;macrophytes
Fontinalis dalecarlica;Species;LC;;macrophytes
Cladophora dalmatica;Species;NE;;macrophytes
Sympetrum danae;Species;LC;;invert
Edwardsia danica;Species;LC;;invert
Ephemera danica;Species;NE;;invert
Leptasterias danica;Species;LC;;invert
Cruoriopsis danica;Species;NE;;macrophytes
Myriochele danielsseni;Species;NE;;invert
Chondria dasyphylla;Species;NA;;macrophytes
Colaconema daviesii;Species;LC;;macrophytes
Beryx decadactylus;Species;NA;;fish
Leptosynapta decaria;Species;NE;;invert
Celleporina decipiens;Species;LC;;invert
Limnephilus decipiens;Species;LC;;invert
Petalosarsia declivis;Species;LC;;invert
Spio decoratus;Species;NE;;invert
Laccobius decorus;Species;LC;;invert
Crenella decussata;Species;LC;;invert
Cryptochironomus defectus;Species;NE;;invert
Entalophoroecia deflexa;Species;LC;;invert
Macropodia deflexa;Species;NE;;invert
Eudorellopsis deformis;Species;LC;;invert
Leucaspius delineatus;Species;LC;;fish
Upogebia deltaura;Species;LC;;invert
Ceratophyllum demersum;Species;LC;;macrophytes
Placida dendritica;Species;NE;;invert
Phaeophila dendroides;Species;NE;;macrophytes
Antalis dentalis;Species;LC;;invert
Melita dentata;Species;NE;;invert
Odonthalia dentata;Species;LC;;macrophytes
Crisia denticulata;Species;NE;;invert
Hippomedon denticulatus;Species;LC;;invert
Orthocladius dentifer;Species;LC;;invert
Limapontia depressa;Species;NE;;invert
Onchidoris depressa;Species;NE;;invert
Liocarcinus depurator;Species;LC;;invert
Chlorochytrium dermatocolax;Species;NE;;macrophytes
Deshayesorchestia deshayesii;Species;VU;B2ab(iii);invert
Herponema desmarestiae;Species;LC;;macrophytes
Curveulima devians;Species;LC;;invert
Griffithsia devoniensis;Species;NE;;macrophytes
Ampelisca diadema;Species;LC;;invert
Alcyonidium diaphanum;Species;LC;;invert
Ceramium diaphanum;Species;NE;;macrophytes
Chaetogaster diaphanus;Species;LC;;invert
Chaetogaster diastrophus;Species;LC;;invert
Dictyota dichotoma;Species;NE;;macrophytes
Vaucheria dichotoma;Species;NE;;macrophytes
Halobatrachus didactylus;Species;NA;;fish
Ericthonius difformis;Species;NE;;invert
Dero digitata;Species;LC;;invert
Hormathia digitata;Species;LC;;invert
Laminaria digitata;Species;LC;;macrophytes
Alcyonium digitatum;Species;LC;;invert
Oncousoecia dilatans;Species;LC;;invert
Astacilla dilatata;Species;NE;;invert
Nolella dilatata;Species;LC;;invert
Cloeon dipterum;Species;LC;;invert
Ensis directus;Species;NA;;invert
Musculus discors;Species;LC;;invert
Endochironomus dispar;Species;NE;;invert
Paratanytarsus dissimilis;Species;LC;;invert
Sphaerodoropsis disticha;Species;LC;;invert
Sigara distincta;Species;LC;;invert
Gyrinus distinctus;Species;LC;;invert
Hippothoa divaricata;Species;LC;;invert
Helminthora divaricata;Species;DD;;macrophytes
Rhodophyllis divaricata;Species;LC;;macrophytes
Sphaerotrichia divaricata;Species;LC;;macrophytes
Hediste diversicolor;Species;LC;;invert
Ondina divisa;Species;LC;;invert
Tellina donacina;Species;LC;;invert
Chironomus dorsalis;Species;LC;;invert
Inachus dorsettensis;Species;NT;B1ab(iii);invert
Trachinus draco;Species;LC;;fish
Strongylocentrotus droebachiensis;Species;LC;;invert
Thyonidium drummondii;Species;NE;;invert
Lestes dryas;Species;LC;;invert
Palio dubia;Species;NE;;invert
Gammarus duebeni;Species;LC;;invert
Halisarca dujardini;Species;LC;;invert
Callopora dumerilii;Species;LC;;invert
Platynereis dumerilii;Species;LC;;invert
Acrochaetium dumontiae;Species;NE;;macrophytes
Lafoea dumosa;Species;NE;;invert
Chone duneri;Species;NE;;invert
Halcampa duodecimcirrata;Species;LC;;invert
Pseudendoclonium dynamenae;Species;NE;;macrophytes
Molva dypterygia;Species;NA;;fish
Crisia eburnea;Species;LC;;invert
Acanthocardia echinata;Species;LC;;invert
Hydractinia echinata;Species;LC;;invert
Isoëtes echinospora;Species;LC;;macrophytes
Philocheras echinulatus;Species;NE;;invert
Ceramium echionotum;Species;NE;;macrophytes
Echiurus echiurus;Species;LC;;invert
Cerastoderma edule;Species;LC;;invert
Mytilus edulis;Species;LC;;invert
Cladopelma edwardsi;Species;LC;;invert
Grania efflorescens;Species;LC;;macrophytes
Bathyporeia elegans;Species;LC;;invert
Erythrops elegans;Species;LC;;invert
Gracilechinus elegans;Species;LC;;invert
Haemopis elegans;Species;NE;;invert
Ischnura elegans;Species;LC;;invert
Palaemon elegans;Species;LC;;invert
Pygospio elegans;Species;LC;;invert
Sagartia elegans;Species;NE;;invert
Urothoe elegans;Species;NE;;invert
Rhodophysema elegans;Species;LC;;macrophytes
Paradoneis eliasoni;Species;LC;;invert
Schistomeringos eliasoni;Species;LC;;invert
Nais elinguis;Species;LC;;invert
Enipo elisabethae;Species;NE;;invert
Stylostomum ellipse;Species;NE;;invert
Astarte elliptica;Species;LC;;invert
Spisula elliptica;Species;LC;;invert
Eriopisa elongata;Species;LC;;invert
Leptopentacta elongata;Species;LC;;invert
Trachythyone elongata;Species;LC;;invert
Himanthalia elongata;Species;NA;;macrophytes
Polysiphonia elongata;Species;LC;;macrophytes
Notoscopelus elongatus;Species;NA;;fish
Neosiphonia elongella;Species;NE;;macrophytes
Eudorella emarginata;Species;LC;;invert
Acrochaetium emergens;Species;NE;;macrophytes
Sparganium emersum;Species;LC;;macrophytes
Tanytarsus eminulus;Species;LC;;invert
Engraulis encrasicolus;Species;NA;;fish
Solaster endeca;Species;VU;B1ab(iii);invert
Phaeophila endophytum;Species;NE;;macrophytes
Acrochaetium endozoicum;Species;NE;;macrophytes
Asperococcus ensiformis;Species;NE;;macrophytes
Ensis ensis;Species;NE;;invert
Saduria entomon;Species;LC;;invert
Osmerus eperlanomarinus;Species;NA;;fish
Osmerus eperlanus;Species;LC;;fish
Acentria ephemerella;Species;LC;;invert
Thorogobius ephippiatus;Species;LC;;fish
Thyasira equalis;Species;LC;;invert
Actinia equina;Species;NE;;invert
Sparganium erectum;Species;NE;;macrophytes
Erinaceusyllis erinaceus;Species;NE;;invert
Pagellus erythrinus;Species;NA;;fish
Hydroporus erythrocephalus;Species;LC;;invert
Erythrops erythrophthalma;Species;LC;;invert
Scardinius erythrophthalmus;Species;LC;;fish
Anser erythropus;Wintering;NA;;wintering birds
Vaucheria erythrospora;Species;NE;;macrophytes
Alaria esculenta;Species;NA;;macrophytes
Echinus esculentus;Species;LC;;invert
Trisopterus esmarkii;Species;LC;;fish
Fucus evanescens;Species;NA;;macrophytes
Orthocladius excavatus;Species;LC;;invert
Tanytarsus excavatus;Species;NE;;invert
Pentapedilum exectum;Species;NE;;invert
Haminoea exigua;Species;NE;;invert
Parvicardium exiguum;Species;NE;;invert
Eubranchus exiguus;Species;NE;;invert
Rheotanytarsus exiguus;Species;NE;;invert
Dosinia exoleta;Species;LC;;invert
Centrolabrus exoletus;Species;LC;;fish
Hypophorella expansa;Species;LC;;invert
Rhantus exsoletus;Species;LC;;invert
Pseudolithoderma extensum;Species;LC;;macrophytes
Harmothoe extenuata;Species;NE;;invert
Limnephilus extricatus;Species;LC;;invert
Anser fabalis;Wintering/ NE & NW European sub-population (fabalis);EN;A2b;wintering birds
Anser fabalis;Wintering/ W & C Siberiaan, NE & NW European sub-population (rossicus);LC;;wintering birds
Zeus faber;Species;NA;;fish
Copidognathus fabricii;Species;NE;;invert
Tellina fabula;Species;LC;;invert
Caspiobdella fadejewi;Species;NE;;invert
Ampharete falcata;Species;LC;;invert
Dulichia falcata;Species;LC;;invert
Hydrallmania falcata;Species;NE;;invert
Jassa falcata;Species;LC;;invert
Prionospio fallax;Species;NE;;invert
Alosa fallax;Species;LC;;fish
Sigara falleni;Species;LC;;invert
Arenocoris fallenii;Species;NE;;invert
Hydrolithon farinosum;Species;NE;;macrophytes
Petalonia fascia;Species;LC;;macrophytes
Clausinella fasciata;Species;LC;;invert
Protomedeia fasciata;Species;LC;;invert
Cystobranchus fasciatus;Species;NE;;invert
Gmelinoides fasciatus;Species;NA;;invert
Lamprops fasciatus;Species;LC;;invert
Leptonematella fasciculata;Species;LC;;macrophytes
Streblonema fasciculatum;Species;NE;;macrophytes
Ectocarpus fasciculatus;Species;LC;;macrophytes
Micrura fasciolata;Species;LC;;invert
Urticina felina;Species;LC;;invert
Pontoporeia femorata;Species;LC;;invert
Phoxichilidium femoratum;Species;NE;;invert
Ilybius fenestratus;Species;LC;;invert
Turrisipho fenestratus;Species;NE;;invert
Aythya ferina;Wintering;LC;;wintering birds
Peloscolex ferox;Species;LC;;invert
Mendicula ferruginosa;Species;LC;;invert
Tellimya ferruginosa;Species;LC;;invert
Gari fervensis;Species;LC;;invert
Cricotopus festivellus;Species;LC;;invert
Polysiphonia fibrillosa;Species;LC;;macrophytes
Polycarpa fibrosa;Species;NE;;invert
Suberites ficus;Species;LC;;invert
Neoamphitrite figulus;Species;LC;;invert
Paradialychone filicaudata;Species;NE;;invert
Laetmonice filicornis;Species;NE;;invert
Spio filicornis;Species;LC;;invert
Pogotrichum filiforme;Species;LC;;macrophytes
Amphiura filiformis;Species;LC;;invert
Cirratulus filiformis;Species;NE;;invert
Heteromastus filiformis;Species;LC;;invert
Magelona filiformis;Species;LC;;invert
Potamogeton filiformis;Species;LC;;macrophytes
Chorda filum;Species;LC;;macrophytes
Ampharete finmarchica;Species;LC;;invert
Gammarus finmarchicus;Species;NE;;invert
Emarginula fissura;Species;LC;;invert
Cellaria fistulosa;Species;LC;;invert
Asperococcus fistulosus;Species;LC;;macrophytes
Pherusa flabellata;Species;NE;;invert
Euzonus flabelligerus;Species;LC;;invert
Ulothrix flacca;Species;NE;;macrophytes
Chordaria flagelliformis;Species;LC;;macrophytes
Hippothoa flagellum;Species;LC;;invert
Eteone flava;Species;LC;;invert
Triticella flava;Species;LC;;invert
Sympetrum flaveolum;Species;LC;;invert
Echinocardium flavescens;Species;LC;;invert
Nephrotoma flavescens;Species;NE;;invert
Gobiusculus flavescens;Species;LC;;fish
Chaoborus flavicans;Species;NE;;invert
Haliplus flavicollis;Species;LC;;invert
Limnephilus flavicornis;Species;LC;;invert
Cyrnus flavidus;Species;LC;;invert
Phaenopsectra flavipes;Species;LC;;invert
Stylurus flavipes;Species;NE;;invert
Carduelis flavirostris;Wintering;NE;;wintering birds
Cricotopus flavocinctus;Species;LC;;invert
Somatochlora flavomaculata;Species;LC;;invert
Polycentropus flavomaculatus;Species;LC;;invert
Sphaerodoropsis flavum;Species;NE;;invert
Amphiblestrum flemingii;Species;LC;;invert
Platichthys flesus;Species;LC;;fish
Nitella flexilis;Species;LC;;macrophytes
Laomedea flexuosa;Species;LC;;invert
Thyasira flexuosa;Species;LC;;invert
Cladophora flexuosa;Species;NE;;macrophytes
Ulva flexuosa;Species;NE;;macrophytes
Ophiodromus flexuosus;Species;NE;;invert
Praunus flexuosus;Species;LC;;invert
Antithamnionella floccosa;Species;NE;;macrophytes
Acrochaete flustrae;Species;NE;;macrophytes
Epicladia flustrae;Species;NE;;macrophytes
Equisetum fluviatile;Species;LC;;macrophytes
Porterinema fluviatile;Species;NE;;macrophytes
Ancylus fluviatilis;Species;LC;;invert
Ephydatia fluviatilis;Species;LC;;invert
Theodoxus fluviatilis;Species;LC;;invert
Lampetra fluviatilis;Species;NT;A2bd;fish
Perca fluviatilis;Species;LC;;fish
Neogobius fluviatilis;Species;NA;;fish
Phycocelis foecunda;Species;LC;;macrophytes
Dictyosiphon foeniculaceus;Species;LC;;macrophytes
Flustra foliacea;Species;LC;;invert
Argulus foliaceus;Species;NE;;invert
Eteone foliosa;Species;LC;;invert
Persicaria foliosa;Species;EN;B2ab(ii,iii,iv,v);macrophytes
Notophyllum foliosum;Species;NE;;invert
Fissidens fontanus;Species;LC;;macrophytes
Physa fontinalis;Species;LC;;invert
Salvelinus fontinalis;Species;NA;;fish
Travisia forbesii;Species;LC;;invert
Pristina foreli;Species;LC;;invert
Crepidula fornicata;Species;NA;;invert
Sigara fossarum;Species;LC;;invert
Misgurnus fossilis;Species;NA;;fish
Stylaria fossularis;Species;NE;;invert
Cladophora fracta;Species;NE;;macrophytes
Codium fragile;Species;NA;;macrophytes
Pneophyllum fragile;Species;LC;;macrophytes
Harmothoe fragilis;Species;NE;;invert
Leucosolenia fragilis;Species;NE;;invert
Lumbrineris fragilis;Species;NE;;invert
Mediomastus fragilis;Species;LC;;invert
Ophiothrix fragilis;Species;LC;;invert
Garveia franciscana;Species;NA;;invert
Paranais frici;Species;NA;;invert
Lesueurigobius friesii;Species;DD;;fish
Potamogeton friesii;Species;NT;B2a;macrophytes
Dendronotus frondosus;Species;LC;;invert
Plumatella fruticosa;Species;NE;;invert
Elachista fucicola;Species;LC;;macrophytes
Pseudendoclonium fucicola;Species;NE;;macrophytes
Polysiphonia fucoides;Species;LC;;macrophytes
Amphilectus fucorum;Species;NE;;invert
Myriactula fucorum;Species;LC;;macrophytes
Paraonis fulgens;Species;LC;;invert
Malacoceros fuliginosus;Species;LC;;invert
Malacoceros fuliginosus;Species;NE;;invert
Aythya fuligula;Breeding;NT;A2ab;breeding birds
Aythya fuligula;Wintering;LC;;wintering birds
Leucoraja fullonica;Species;NA;;fish
Ceraclea fulva;Species;LC;;invert
Iothia fulva;Species;LC;;invert
Capsosiphon fulvescens;Species;NE;;macrophytes
Plumatella fungosa;Species;LC;;invert
Scinaia furcellata;Species;NA;;macrophytes
Prasiola furfuracea;Species;NE;;macrophytes
Palliolum furtivum;Species;LC;;invert
Oecetis furva;Species;LC;;invert
Hydra fusca;Species;LC;;invert
Melanitta fusca;Breeding;VU;A2b;breeding birds
Melanitta fusca;Wintering;EN;A2b;wintering birds
Mesovelia fuscata;Species;NE;;invert
Harnischia fuscimana;Species;NE;;invert
Enochrus fuscipennis;Species;NE;;invert
Cricotopus fuscus;Species;NE;;invert
Owenia fusiformis;Species;LC;;invert
Sige fusigera;Species;NE;;invert
Thyone fusus;Species;LC;;invert
Byblis gaimardii;Species;LC;;invert
Eualus gaimardii;Species;NE;;invert
Hyperia galba;Species;LC;;invert
Galeorhinus galeus;Species;VU;A2bd, D1;fish
Chamelea gallina;Species;LC;;invert
Orchestia gammarellus;Species;DD;;invert
Hartlaubella gelatinosa;Species;LC;;invert
Alcyonidium gelatinosum;Species;LC;;invert
Obelia geniculata;Species;NE;;invert
Piscicola geometra;Species;LC;;invert
Rhodophysema georgei;Species;LC;;macrophytes
Capitellides giardi;Species;LC;;invert
Dipolydora giardi;Species;NE;;invert
Corbula gibba;Species;LC;;invert
Lemna gibba;Species;LC;;macrophytes
Ancula gibbosa;Species;LC;;invert
Carassius gibelio;Species;NA;;fish
Glycera gigantea;Species;NE;;invert
Monopseudocuma gilsoni;Species;NE;;invert
Campylaspis glabra;Species;NE;;invert
Malmgreniella glabra;Species;LC;;invert
Lithothamnion glaciale;Species;LC;;macrophytes
Marthasterias glacialis;Species;LC;;invert
Trichobranchus glacialis;Species;NE;;invert
Liopsetta glacialis;Species;NA;;fish
Fulmarus glacialis;Wintering;NA;;wintering birds
Xiphias gladius;Species;NA;;fish
Cognettia glandulosa;Species;NE;;invert
Propappus glandulosus;Species;NE;;invert
Silurus glanis;Species;NA;;fish
Aeolidiella glauca;Species;LC;;invert
Notonecta glauca;Species;LC;;invert
Prionace glauca;Species;NA;;fish
Cerastoderma glaucum;Species;LC;;invert
Diplocirrus glaucus;Species;LC;;invert
Glyptotendipes glaucus;Species;NE;;invert
Haplospora globosa;Species;LC;;macrophytes
Microspongium globosum;Species;LC;;macrophytes
Chara globularis;Species;LC;;macrophytes
Cladophora glomerata;Species;LC;;macrophytes
Alcyonium glomeratum;Species;NE;;invert
Myxas glutinosa;Species;NE;;invert
Myxine glutinosa;Species;LC;;fish
Gobio gobio;Species;NA;;fish
Cottus gobio;Species;LC;;fish
Spio goniocephala;Species;LC;;invert
Diastylis goodsiri;Species;LC;;invert
Oncorhynchus gorbuscha;Species;NA;;fish
Parachironomus gracilior;Species;NE;;invert
Rhodine gracilior;Species;LC;;invert
Akanthophoreus gracilis;Species;NE;;invert
Anobothrus gracilis;Species;LC;;invert
Aora gracilis;Species;LC;;invert
Barentsia gracilis;Species;NE;;invert
Bathyporeia gracilis;Species;NE;;invert
Bowerbankia gracilis;Species;LC;;invert
Clytia gracilis;Species;NE;;invert
Leptomysis gracilis;Species;LC;;invert
Levinsenia gracilis;Species;LC;;invert
Lumbrineris gracilis;Species;LC;;invert
Ophryotrocha gracilis;Species;NE;;invert
Sphaerodorum gracilis;Species;LC;;invert
Lycodes gracilis;Species;DD;;fish
Acrothrix gracilis;Species;LC;;macrophytes
Gracilaria gracilis;Species;NE;;macrophytes
Plagiospora gracilis;Species;LC;;macrophytes
Compsothamnion gracillimum;Species;LC;;macrophytes
Prostoma graecense;Species;LC;;invert
Alisma gramineum;Species;NE;;macrophytes
Sparganium gramineum;Species;LC;;macrophytes
Potamogeton gramineus;Species;LC;;macrophytes
Aeshna grandis;Species;LC;;invert
Phryganea grandis;Species;LC;;invert
Spirorbis granulatus;Species;NE;;invert
Ebalia granulosa;Species;NE;;invert
Idotea granulosa;Species;LC;;invert
Hincksia granulosa;Species;LC;;macrophytes
Tanytarsus gregarius;Species;NE;;invert
Monostroma grevillei;Species;LC;;macrophytes
Paratanytarsus grimmii;Species;NE;;invert
Glyptotendipes gripekoveni;Species;NE;;invert
Podiceps grisegena;Wintering;EN;A2b, C1;wintering birds
Micronecta griseola;Species;NE;;invert
Limnephilus griseus;Species;LC;;invert
Hexanchus griseus;Species;NA;;fish
Malacobdella grossa;Species;LC;;invert
Nymphon grossipes;Species;NE;;invert
Dendrodoa grossularia;Species;LC;;invert
Cepphus grylle;Breeding;NT;A2ab;breeding birds
Cepphus grylle;Wintering/ Baltic subpopulation (grylle);NT;A2ab;wintering birds
Cepphus grylle;Wintering/ Kattegat & West coast of Sweden sub-population (arcticus);VU;D2;wintering birds
Microdeutopus gryllotalpa;Species;LC;;invert
Halichoerus grypus;Species;LC;;mammals
Acipenser gueldenstaedtii;Species;NA;;fish
Lebetus guilleti;Species;DD;;fish
Bathyporeia guilliamsoniana;Species;LC;;invert
Pholis gunnellus;Species;LC;;fish
Amphicteis gunneri;Species;LC;;invert
Ptilota gunneri;Species;LC;;macrophytes
Eutrigla gurnardus;Species;LC;;fish
Lampris guttatus;Species;NA;;fish
Ilybius guttiger;Species;LC;;invert
Limatula gwyni;Species;NE;;invert
Babka gymnotrachelus;Species;NA;;fish
Gasterosteus gymnurus;Species;NA;;fish
Acrochaetium gynandrum;Species;NE;;macrophytes
Dikerogammarus haemobaphes;Species;NA;;invert
Halecium halecium;Species;LC;;invert
Pandion haliaetus;Breeding;LC;;breeding birds
Acrochaetium hallandicum;Species;NE;;macrophytes
Chironomus halophilus;Species;NE;;invert
Argissa hamatipes;Species;LC;;invert
Paramonotus hamatus;Species;NE;;invert
Chirona hameri;Species;NE;;invert
Bonnemaisonia hamifera;Species;NA;;macrophytes
Potamothrix hammoniensis;Species;LC;;invert
Hanleya hanleyi;Species;LC;;invert
Synchelidium haplocheles;Species;NE;;invert
Clupea harengus;Species;LC;;fish
Rhithropanopeus harrisii;Species;NA;;invert
Ceratocolax hartzii;Species;LC;;macrophytes
Neosiphonia harveyi;Species;NA;;macrophytes
Coenagrion hastulatum;Species;LC;;invert
Parvicardium hauniense;Species;VU;B2ab(ii,iii);invert
Myriactula haydenii;Species;NE;;macrophytes
Myriochele heeri;Species;NE;;invert
Gyptis helgolandica;Species;NE;;invert
Podarkeopsis helgolandica;Species;NE;;invert
Lumbricillus helgolandicus;Species;LC;;invert
Margarites helicinus;Species;LC;;invert
Nemalion helminthoides;Species;LC;;macrophytes
Clytia hemisphaerica;Species;LC;;invert
Aeolosoma hemprichi;Species;NE;;invert
Haemescharia hennedyi;Species;LC;;macrophytes
Pisidium henslowanum;Species;LC;;invert
Jassa herdmani;Species;LC;;invert
Stylodrilus heringianus;Species;LC;;invert
Hygrobia hermanni;Species;NA;;invert
Callitriche hermaphroditica;Species;LC;;macrophytes
Tubificoides heterochaetus;Species;LC;;invert
Acrochaete heteroclada;Species;NE;;macrophytes
Alboglossiphonia heteroclita;Species;LC;;invert
Epicladia heterotricha;Species;NE;;macrophytes
Cheilopogon heterurus;Species;NA;;fish
Potamothrix heuscheri;Species;NA;;invert
Abyssoninoe hibernica;Species;NE;;invert
Pisidium hibernicum;Species;NE;;invert
Hincksia hincksiae;Species;NA;;macrophytes
Hippocampus hippocampus;Species;NA;;fish
Hippoglossus hippoglossus;Species;NA;;fish
Arachnidium hippothooides;Species;NE;;invert
Leptocheirus hirsutimanus;Species;LC;;invert
Alcyonidium hirsutum;Species;LC;;invert
Lepidostoma hirtum;Species;LC;;invert
Sterna hirundo;Breeding;LC;;breeding birds
Schmitzia hiscockiana;Species;LC;;macrophytes
Disporella hispida;Species;LC;;invert
Echinocucumis hispida;Species;NE;;invert
Flustrellidra hispida;Species;LC;;invert
Chara hispida;Species;NE;;macrophytes
Limnodrilus hoffmeisteri;Species;LC;;invert
Phoxocephalus holbolli;Species;NE;;invert
Liocarcinus holsatus;Species;LC;;invert
Gammarellus homari;Species;LC;;invert
Tritonia hombergi;Species;LC;;invert
Nephtys hombergii;Species;LC;;invert
Lekanesphaera hookeri;Species;LC;;invert
Aglaothamnion hookeri;Species;LC;;macrophytes
Scopelocheirus hopei;Species;LC;;invert
Caenis horaria;Species;LC;;invert
Chara horrida;Species;NT;B2b(ii,iii,iv,v);macrophytes
Acrochaetium humile;Species;NE;;macrophytes
Huso huso;Species;NA;;fish
Cladophora hutchinsiae;Species;NE;;macrophytes
Alboglossiphonia hyalina;Species;NE;;invert
Celleporella hyalina;Species;LC;;invert
Nitella hyalina;Species;VU;B2ab(iii);macrophytes
Thyonidium hyalinum;Species;NE;;invert
Laccophilus hyalinus;Species;LC;;invert
Bezzia hydrophila;Species;NE;;invert
Limnophyes hydrophilus;Species;NE;;invert
Elatine hydropiper;Species;LC;;macrophytes
Clangula hyemalis;Wintering;EN;A2b;wintering birds
Panningia hyndmanni;Species;LC;;invert
Laminaria hyperborea;Species;LC;;macrophytes
Atractophora hypnoides;Species;NE;;macrophytes
Bryopsis hypnoides;Species;LC;;macrophytes
Fontinalis hypnoides;Species;LC;;macrophytes
Leanira hystricis;Species;LC;;invert
Nephtys hystricis;Species;LC;;invert
Sphaerosyllis hystrix;Species;LC;;invert
Ochlochaete hystrix;Species;NE;;macrophytes
Ctenopharyngodon idella;Species;NA;;fish
Leuciscus idus;Species;LC;;fish
Serratella ignita;Species;NE;;invert
Tubifex ignotus;Species;NE;;invert
Alderina imbellis;Species;LC;;invert
Bowerbankia imbricata;Species;NE;;invert
Harmothoe imbricata;Species;LC;;invert
Haliplus immaculatus;Species;LC;;invert
Gavia immer;Wintering;NA;;wintering birds
Escharella immersa;Species;LC;;invert
Acrochaetium immersum;Species;NE;;macrophytes
Cernosvitoviella immota;Species;NE;;invert
Harmothoe impar;Species;LC;;invert
Synendotendipes impar;Species;NE;;invert
Lumbrineris impatiens;Species;LC;;invert
Filograna implexa;Species;NE;;invert
Ulothrix implexa;Species;NE;;macrophytes
Hygrotus impressopunctatus;Species;LC;;invert
Balanus improvisus;Species;NA;;invert
Hygrotus inaequalis;Species;LC;;invert
Tanytarsus inaequalis;Species;LC;;invert
Trichocladius inaequalis;Species;NE;;invert
Gammarus inaequicauda;Species;DD;;invert
Leucothoe incisa;Species;LC;;invert
Nephtys incisa;Species;LC;;invert
Hydroporus incognitus;Species;LC;;invert
Pusillina inconspicua;Species;LC;;invert
Chaetophora incrassata;Species;NE;;macrophytes
Nassarius incrassatus;Species;LC;;invert
Tubularia indivisa;Species;NE;;invert
Praunus inermis;Species;LC;;invert
Streblonema infestans;Species;LC;;macrophytes
Acrochaete inflata;Species;NE;;macrophytes
Scalibregma inflatum;Species;LC;;invert
Axinella infundibuliformis;Species;NE;;invert
Chone infundibuliformis;Species;NE;;invert
Myxicola infundibulum;Species;NE;;invert
Brada inhabilis;Species;NE;;invert
Leptosynapta inhaerens;Species;NE;;invert
Paratanytarsus inopertus;Species;NE;;invert
Pholoe inornata;Species;LC;;invert
Gammarus insensibilis;Species;NE;;invert
Monocorophium insidiosum;Species;LC;;invert
Spiridion insigne;Species;NE;;invert
Neomysis integer;Species;LC;;invert
