Name,Plan,BSPA_ID,mgmt_status,implem_date,BHI_ID,MPA_area_Ha,Date_Est,MPA_Status,mpa_area_rgn
Ouran saaristo /Oura Archipelago,NA,141,NA,NA,38,3073,19.9.2005,Designated,207114
Uudenkaupungin saaristo/ Uusikaupunki Archipelago,NA,142,NA,NA,38,55992,19.9.2005,Designated,207114
Närpiön saaristo /Närpiö Archipelago,NA,155,NA,NA,38,11828,19.9.2005,Designated,207114
Kristiinankaupungin saaristo /Kristiinankaupunki Archipelago,NA,156,NA,NA,38,8059,19.9.2005,Designated,207114
Holmö Islands,NA,103,NA,NA,39,24216,25.9.2008,Managed,24216
Merenkurkun saaristo /Outer Bothnian Threshold Archipelago (The Quark),NA,140,NA,NA,40,128162,19.9.2005,Designated,131372
Uudenkaarlepyyn saaristo /Uusikaarlepyy Archipelago,NA,154,NA,NA,40,3210,19.9.2005,Designated,131372
Marakallen,Bevarandeplan Natura 2000 Marakallen SE0820751,299,Implemented,23.11.2010,41,5985,16.5.2011,Managed,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Haparanda Sandskaer SE0820320,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Tervaletto SE0820748,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Maloeren SE0820724,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Tantamanni SE0820747,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Stora Hepokari SE0820735,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Toeyrae SE0820749,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Sarvenkataja SE0820734,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Huitori SE0820743,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Enskaer SE0820742,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Haparanda skaergard (SE0820108),101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Austi SE0820741,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Stora Hamnskaer SE0820746,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Haparanda-skaergard Nature reserve,101,In development,NA,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Aeimae SE0820750,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Kataja SE0820744,101,Implemented,11.12.2007,41,46296,24.9.2008,Designated,52281
Haparanda Archipelago,Bevarandeplan Natura 2000 Haparanda Sandskaer SE0820320,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Tervaletto SE0820748,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Maloeren SE0820724,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Tantamanni SE0820747,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Stora Hepokari SE0820735,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Toeyrae SE0820749,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Sarvenkataja SE0820734,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Huitori SE0820743,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Enskaer SE0820742,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Haparanda skaergard (SE0820108),101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Austi SE0820741,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Stora Hamnskaer SE0820746,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Haparanda-skaergard Nature reserve,101,In development,NA,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Aeimae SE0820750,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Haparanda Archipelago,Bevarandeplan Natura 2000 Kataja SE0820744,101,Implemented,11.12.2007,42,46296,24.9.2008,Designated,121233
Perämeren kansallispuisto /Bothnian Bay National Park,NA,139,NA,NA,42,15890,19.9.2005,Managed,121233
"Hailuoto, pohjoisranta/ Hailuoto northshore",NA,147,NA,NA,42,3671,19.9.2005,Designated,121233
Kirkkosalmi,Hailuodon Natura 2000 -alueiden hoito- ja kaeyttoesuunnitelma 2013�2027,148,In development,NA,42,1019,19.9.2005,Designated,121233
Isomatala-Maasyvänlahti,NA,149,NA,NA,42,1531,19.9.2005,Designated,121233
Liminka Bay /Liminganlahti,NA,150,NA,NA,42,11823,19.9.2005,Managed,121233
Rahjan saaristo/Rahja Archipelago,NA,151,NA,NA,42,8381,19.9.2005,Managed,121233
Kokkolan saaristo/Kokkola Archipelago,NA,152,NA,NA,42,14955,22.11.2006,Managed,121233
Luodon saaristo/Luoto Archipelago,NA,153,NA,NA,42,14457,19.9.2005,Managed,121233
Uudenkaarlepyyn saaristo /Uusikaarlepyy Archipelago,NA,154,NA,NA,42,3210,19.9.2005,Designated,121233
