name_csv,BSPA_ID,status_csv,name_shape,BHI_ID,country,status_shape,date_est,mpa_area_km2,eez_area_km2,mgmt_status
"Smalandsfarvandet nord for Lolland, Guldborg Sund, Boetoe Nor og Hyllekrog-Roedsand",187,Designated_and_managed,"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",9,Denmark,Managed,2005,778.48,1144.29301,Designated_and_managed
"Smalandsfarvandet nord for Lolland, Guldborg Sund, Boetoe Nor og Hyllekrog-Roedsand",187,Designated_and_managed,"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",3,Denmark,Managed,2005,778.48,10369.11323,Designated_and_managed
"Smalandsfarvandet nord for Lolland, Guldborg Sund, Boetoe Nor og Hyllekrog-Roedsand",187,Designated_and_managed,"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",7,Denmark,Managed,2005,778.48,1208.87616,Designated_and_managed
Kronoeren,189,Designated_and_managed,Kronören,37,Sweden,Managed,2008,58.34,31735.90809,Designated_and_managed
Axmar,190,Designated_and_managed,Axmar,37,Sweden,Managed,2008,72.25,31735.90809,Designated_and_managed
Bulleroe-Bytta,191,Designated_and_managed,Bullerö-Bytta,29,Sweden,Managed,2008,143.85,17728.40167,Designated_and_managed
Vaernanaes Archipelago,192,Designated_and_managed,Värnanäs Archipelago,26,Sweden,Managed,2008,15.52,27456.05692,Designated_and_managed
Lundakrabukten,193,Designated_and_partly_managed,Lundåkrabukten,5,Sweden,Designated,2008,19.63,612.66514,Designated_and_partly_managed
Hallands Vaederoe,194,Designated_and_managed,Hallands Väderö,1,Sweden,Managed,2008,18.36,6739.5362,Designated_and_managed
Vaeinameri,207,Designated,Väinameri,28,Estonia,Designated,2009,2712.97,10774.55332,Designated
Vaeinameri,207,Designated,Väinameri,31,Estonia,Designated,2009,2712.97,11841.39906,Designated
Havet omkring Nordre Roenner,188,Designated_and_managed,Havet omkring Nordre Rønner,2,Denmark,Managed,2005,185.35,15300.69996,Designated_and_managed
L<e6>soe Trindel og Toenneberg Banke,136,Designated_and_managed,Læsø Trindel og Tønneberg Banke,2,Denmark,Managed,2005,86.5970019531,15300.69996,Designated_and_managed
Store Middelgrund,132,Designated_and_managed,Store Middelgrund,2,Denmark,Managed,2005,21.37,15300.69996,Designated_and_managed
Store Middelgrund,132,Designated_and_managed,Store Middelgrund,1,Denmark,Managed,2005,21.37,6739.5362,Designated_and_managed
"Hirsholmene, havet vest herfor og Ellinge A's udloeb",135,Designated_and_managed,"Hirsholmene, havet vest herfor og Ellinge Å's udløb",2,Denmark,Managed,2005,95,15300.69996,Designated_and_managed
Strandenge pa L<e6>soe og havet syd herfor,134,Designated_and_managed,Strandenge på Læsø og havet syd herfor,2,Denmark,Managed,2005,1027.14,15300.69996,Designated_and_managed
Ainazi-Salacgriva,303,Designated,Ainazi-Salacgriva,28,Latvia,Designated,2013,71.13,10774.55332,Designated
Ainazi-Salacgriva,303,Designated,Ainazi-Salacgriva,27,Latvia,Designated,2013,71.13,7993.91788,Designated
Akmensrags,308,Designated,Akmensrags,24,Latvia,Designated,2013,258.29,20977.58487,Designated
Irbes saurums,307,Designated,Irbes saurums,25,Latvia,Designated,2013,1724.12,5414.05646,Designated
Irbes saurums,307,Designated,Irbes saurums,28,Latvia,Designated,2013,1724.12,10774.55332,Designated
Irbes saurums,307,Designated,Irbes saurums,24,Latvia,Designated,2013,1724.12,20977.58487,Designated
Irbes saurums,307,Designated,Irbes saurums,27,Latvia,Designated,2013,1724.12,7993.91788,Designated
Nida-Perkone,309,Designated,Nida-Perkone,24,Latvia,Managed,2013,367.03,20977.58487,Designated
Selga uz rietumiem no Tujas,305,Designated,Selga uz rietumiem no Tujas,27,Latvia,Designated,2013,586,7993.91788,Designated
Vitrupe-Tuja,304,Designated,Vitrupe-Tuja,27,Latvia,Designated,2013,35.77,7993.91788,Designated
Rigas lica rietumu piekraste,306,Designated,Rigas lica rietumu piekraste,27,Latvia,Managed,2013,1321.72,7993.91788,Designated
Lawica Slupska,87,Designated,Lawica Slupska,17,Poland,Designated,2009,800.50296875,17334.97259,Designated
Anholt og havet nord for,244,Designated_and_managed,Anholt og havet nord for,2,Denmark,Managed,2009,478.78,15300.69996,Designated_and_managed
Centrale Storeb<e6>lt og Vresen,249,Designated_and_managed,Centrale Storebælt og Vresen,3,Denmark,Managed,2009,623.11,10369.11323,Designated_and_managed
Kursiu Marios Biosphere Polygon,310,Designated_and_managed,Kursiu Marios Biosphere Polygon,23,Lithuania,Managed,2009,311.38,6139.73941,Designated_and_managed
Kursiu Marios Biosphere Polygon,310,Designated_and_managed,Kursiu Marios Biosphere Polygon,22,Lithuania,Managed,2009,311.38,9466.30104,Designated_and_managed
Baltic Sea Biosphere Polygon,311,Designated,Baltic Sea Biosphere Polygon,23,Lithuania,Designated,2013,319.59,6139.73941,Designated
Baltic Sea Biosphere Polygon,311,Designated,Baltic Sea Biosphere Polygon,22,Lithuania,Designated,2013,319.59,9466.30104,Designated
