Country (Country),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),Unit,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Latvia,Tilapias nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.9,1.2,1.4,2.3
Lithuania,Grass carp(=White amur),Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,18,10,1,12,8,20,23.2,14.07,35.49,40.8,52.69,87.62
Poland,Common carp,Europe - Inland waters,Freshwater,t,2000,2000,2000,2300,2000,1700,1100,1000,3400,7800,8100,8700,7500,8800,10600,9700,10100,9900,12400,12800,9700,10200,13000,13700,13308,14295,14141,16208,11013,9211,8793,13190,11647,16543,17985,18189,16714,18472,21824,21824,22000,25000,25000,13600,19800,19720,21400,19700,19441,21368,22600,22000,19000,21400,18300,19000,15575,15698,17150,18133,15400,14430,17700,18760,20302
Poland,Cyprinids nei,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10 F,50 F,50 F,105,100,100,100,100,100,200,200 F,500,400 F,500,400,500,1500,1236,1064,1500,1500,1500,1400,1311,920,1375,1000,1015,386,500 F,950 F,810 F,800 F,...
Russian Federation,Cyprinids nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5000,4170,2070,2967,3600,3750,4700,4703,8250,12934,11933,10185,10803,9445,10590,8518,6764,7156,5165,4475,5453
Russian Federation,Common carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,90214,122257,198053,51721,70295,58370,49420,33400,30110,30029,33409,33325,34210,42293,46714,45776,47500,53900,44404,44276,48933,51581,56797,56180,60880,55905,58218
Latvia,Silver carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0,-,0.2,0.3,...,...,...,...
Latvia,Grass carp(=White amur),Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,3,3,2,1.8,3.1,0.6,...,0.6,0.2
Poland,Nile tilapia,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,200 F,200 F,850
Germany,Silver carp,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 F,5 F,5 F,10 F,15 F,10 F,20 F,20 F,30 F,25 F,30 F,40 F,50 F,39,75,81,112,141,282,413,791,220,190,220,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Germany,Grass carp(=White amur),Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 F,2 F,5 F,10 F,10 F,20 F,15 F,15 F,37,34,35,52,72,81,64,44,22,20,22,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Sweden,Euro-American crayfishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,3,4,8,8,8,11,10,12,10,8,9,9,7,6,6,7,6,6,5,3,...,2,1,1,2,1,1
Russian Federation,Tench,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,1,18,1,5,15,18,14,18,25,27,30
Russian Federation,Freshwater bream,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,770,-,35,55,8,18,20,80,80,42,37,14,3,5,4,2,5,24,40,38
Russian Federation,Pike-perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,200,-,-,2,1,-,1,...,...,-,-,-,-,-,-,-,-,-,-,-
Poland,Tench,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,205 F,...,200 F,200 F,200 F,...
Germany,Tilapias nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,36,50,116
Poland,Euro-American crayfishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,6 F,6,6 F,6 F,6 F,6 F
Latvia,Pike-perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.9,3.4,1.1,2.4,1.22
Lithuania,Tench,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,1,2,2,2,4,3,3.7,9.8,1.71,4.5,11.12,12.95
Latvia,Tench,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,1,1,2,1,1,1,-,1,3,1,9,12.6,11.1,5.8,7,14.1,10.58
Latvia,Crucian carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11,29,47,6,9,22,4,9,17,57,12,4.9,17.1,11.1,4.3,3.5,14.38
Lithuania,Pike-perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0,1,1 F,0.55,0.17,1.8,1.94
Latvia,Freshwater bream,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1
Germany,Common carp,Europe - Inland waters,Freshwater,t,4000,4000,4000,5000,5000,5000,4000,5000,5000,5000,6000,6000,6000,7000,7600,5800,7000,7300,8200,9500,8700,8800,9200,9900,9962,10686,9167,11862,10198,7715,13120,9153,15722,18841,18667,19739,19021,18211,19360,21331,19145,15500,13300,12700,12300,14000,12000,12000,10700,10500,10500,10500,11373,16221,16044,11999,10584,9244,10855,9887,9634,5082,5521,5699,5285
Latvia,Orfe(=Ide),Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,0.8,0.04,0.8,0.02
Latvia,Euro-American crayfishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0 0,0.1 F,0.2,0.1,0.1,0.01,0.06
Estonia,Common carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,405,385,420,234,33,136,30,61,28,23,30,47,52,42,51,47,44,80,28,70,45.4,39.4,37.46,38.23,43.74,34.84
Denmark,Common carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.3,...,...,...,0.1 F,0.3 F
Germany,Bighead carp,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 F,2 F,5 F,8 F,5 F,5 F,10 F,20 F,10 F,30 F,20 F,20 F,20 F,64,55,72,64,133,93,118,161,24,20,24,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Latvia,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,5,17,14,3,3.5,4.9,29.3,24.3,23,23.47
Lithuania,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,1,-,1,1,0 0,17,-,-,8,13.12,3.5,3.7,7.67
Denmark,Golden trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,10,22,25,...,...,...,...,...,...
Poland,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,900,340,243,-,870,830 F,400 F,860 F,162 F,1000 F,620 F,1880 F,2780
Poland,Freshwater fishes nei,Europe - Inland waters,Brackishwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10 F,50 F,100 F,195,295,300,300,300,300,200,300 F,550,300 F,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Russian Federation,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,1570,990,1374,2544,3152,2207,1280,2711,2302,803,748,450,...,-,-,-,-,-,-,-
Sweden,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95,...,...,...,...
Estonia,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,86.74,223.4,134.8
Denmark,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0
Finland,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,72,2,36,5,32,35,57,41,18,36,44,49,38,26,54,37,26,56,72,92,58,83,87,103,...
Germany,Freshwater fishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6300,6300,6500,6500,6000,8000,6000,6000,6000,6000,6000,6000,6000,6000,3188,993,993,3120,3461,4028,1696,436,401,365
Denmark,Chars nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,274,-,-,105,196,204,205,153,155,230,243,272,216
Germany,Chars nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,525,526,375,1660,1883,2061
Germany,Sea trout,Europe - Inland waters,Freshwater,t,50 F,110 F,160 F,220 F,280 F,330 F,390 F,440 F,500 F,550 F,610 F,670 F,720 F,780 F,830 F,890 F,950 F,1000 F,1060 F,1110 F,1170 F,1226 F,1283 F,1339 F,1395 F,1500,1507 F,1564 F,1620 F,1676 F,1800,1789 F,1845 F,1901 F,1905,1670,2020,2138,2143,2500,2406,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,525,526,561,658,701,676
Estonia,Sea trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,1,...,...,...,...,...,9,0 0,0 0,...,...,...,...,...
Denmark,Sea trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,250,250,250,250,250,250,250,250,200,200,220,250,250,303,194,76,78,142,159,154,49,48,53,51.44,39,45
Finland,Sea trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,25,24,28,20,17,7,9,6,20,23,25,75,41,7,3,2,-,...
Denmark,Freshwater siluroids nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,-,-,-,...,...,...,...,...
Lithuania,Sea trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,47,45,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Latvia,Sea trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sweden,Chars nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,1,5,22,27,77,98,90,85,73,114,105,85,100,183,347,386,334,666,515,274,278,372,377,317,586,...,1307,1128,1849,1808,1644
Sweden,Sea trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,5,2,2,0 0,0 0,4,3,2,4,4,6,1,3,4,4,4,4,3,1,1,1,2,2,10,...,...,7,6,...,...
Estonia,Noble crayfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,3,2,2,0.4,0.57,0.1,0.44,0.23
Russian Federation,Salmonoids nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,93,-,-,-,-,-,-
Poland,North African catfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,300,300,330,300,380,500,1100,1100,650 F,124,302,203,...
Russian Federation,Freshwater crustaceans nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,1,1,7,20,3,10,15,25,12,14,9,10,18,5,5,...,-,-,-,-,-,-,-
Lithuania,Wels(=Som) catfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,4,0 0,0.7,0.85,0.59,4.41,6.41,14.47
Latvia,Wels(=Som) catfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16,46,19,17.9,26.9,...,...,...,0.13
Latvia,North African catfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18.55
Finland,Atlantic salmon,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finland,European whitefish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,0 0,0 0,0 0,0 0,0 0,0 0,0 0,3,3,1,26,16,24,34,38,43,96,123,186,85,150,146,275,279,269,180
Denmark,Atlantic salmon,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,16,15,17,18,16,11,1.9,15,10,0.2,10,405
Estonia,Rainbow trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,395,827,464,647,299,123,122,128,194,227,237,170,178,412,210,304,194,451,520,610,649,549,487.5,333.8,455.3,465.49,572.7
Denmark,European whitefish,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0 0,...,...,...,...,...,...
Denmark,Northern pike,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3 F
Denmark,Rainbow trout,Europe - Inland waters,Freshwater,t,2146,2500,2800,2900,3300,3641,3950,4361,5274,6044,6045,7538,7700,7824,8263,10809,10135,10638,12178,11147,9272,11910,13914,13176,12190,15188,14149,13633,15960,16968,18155,20702,21055,24263,20737,21628,20549,22691,23259,25489,34490,34990,35316,30737,34949,36182,32472,31956,32607,32676,33417,33367,27024,27338,31376,28049,26651,20775,21221,20197.7,22300 F,22481 F,21134.82,20000 F,20000 F
Denmark,Brook trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,247,373,206,170,258,181,213.1,115,109,118.9,76,106
Estonia,Northern pike,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0 0,0 0,1,1,1,0 0,0 0,0.5,0.1,0.1,0.12,0.05,...
Finland,Rainbow trout,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50 F,190 F,390 F,600 F,800 F,999 F,1201 F,1403 F,1200,1800,1800,2500,2500,2646,2481,2712,3175,3099,3601,4112,3427,3773,3894,3487,5091,5297,4068,3200,3823,3331,3387,2892,3350,2712,2589,2041,2459,2893,2050,1749,2081,1974,1962,1927,2230,1715,1569,1843,1761,1625
Lithuania,North African catfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13.2,35.05,45.73
Russian Federation,Black carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,24,-,-,-,-,-,-,-,-,-
Germany,Northern pike,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,49,45,53
Poland,Wels(=Som) catfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,350,383,700 F,350 F,214 F,200 F,220 F,220 F,300 F,454
Germany,Rainbow trout,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,200,500 F,1000 F,1500 F,2500 F,4000 F,5000 F,6500 F,7500 F,8500 F,10000,10500 F,11400 F,12000 F,12500 F,12634,13500 F,17438,17940,17143,18028,18176,19237,19284,22496,21654,22500,25800,25400,25000,25000,25000,25000,25000,25000,25000,25000,24161,23256,22004,19322,19004,23154,21983,20051,19982,9230,9364,9579,9937
Latvia,Rainbow trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,385,22,5,10,5,1,3,-,1,4,9,7,7,2,2,5,8,7,5.3,4.4,2.5,2.6,3.5,38.13
Latvia,Trouts nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,25,12,11.5,11.3,8.7,19.9,25.9,...
Latvia,Northern pike,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,1,2,3,3,4,6,4,5,8,11,13,10.3,17.6,12.8,10.6,8.4,13.39
Lithuania,Trouts nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51,34.09,40.66,...,...,...
Lithuania,Rainbow trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,10,8,21,8,8,46,58,68,80,...,-,-,114.56,115.12,109.48
