"","station","latitude","longitude","date","sub_samp_ref","sub_samp_id","samp_id","param_ocdx","basis_determination","CDD1N_pg/g","CDD4X_pg/g","CDD6P_pg/g","CDD6X_pg/g","CDD9X_pg/g","CDDO_pg/g","CDF2N_pg/g","CDF2T_pg/g","CDF4X_pg/g","CDF6P_pg/g","CDF6X_pg/g","CDF9P_pg/g","CDF9X_pg/g","CDFDN_pg/g","CDFO_pg/g","TCDD_pg/g","param_bbio","AGMEA_y","DRYWT%_%","EXLIP%_%","LNMEA_cm","WTMEA_g"
"99","Harufjaerden",65.5825,22.8791,"2009-09-28",3685698,366403675,1841567,"OC-DX","wet weight",0.1014,0.02444,0.0312,0.1222,0.0143,0.1326,0.702,0.624,0.0676,0.0468,0.0572,0.0026,0.0312,0.143,0.0572,0.0364,"B-BIO",4,NA,2.6,16.1,25.5
"100","Harufjaerden",65.5825,22.8791,"2009-09-28",3685699,367603687,1841567,"OC-DX","wet weight",0.0912,0.01968,0.0264,0.0744,0.00192,0.0744,0.576,0.696,0.0576,0.0312,0.0312,0.0024,0.0312,0.108,0.0432,0.0312,"B-BIO",4,NA,2.4,12.6,22
"101","Harufjaerden",65.5825,22.8791,"2010-09-20",3687023,273102742,1841622,"OC-DX","wet weight",0.2325,0.0465,0.093,0.0744,0.031,0.1209,1.612,0.992,0.0775,0.0527,0.0899,0.062,0.0465,0.2573,0.093,0.062,"B-BIO",NA,NA,3.1,16.1,25.2
"102","Harufjaerden",65.5825,22.8791,"2010-09-20",3687024,274302754,1841622,"OC-DX","wet weight",0.1495,0.023,0.069,0.1725,0.023,0.1909,0.989,1.058,0.0552,0.0529,0.0529,0.046,0.0345,0.1909,0.207,0.046,"B-BIO",NA,NA,2.3,16.8,26.6
"103","Harufjaerden",65.5825,22.8791,"2011-10-02",3677728,152401535,1841247,"OC-DX","lipid weight",7.8,1,0.93,8.1,0.91,1.7,51,44,2.5,1.5,2.5,0.5,0.61,9.1,0.7,2.1,"B-BIO",6,NA,4.08,18.7,32.7
"104","Harufjaerden",65.5825,22.8791,"2011-10-02",3677729,153601547,1841247,"OC-DX","lipid weight",13,1.1,1.2,15,1.6,3,84,45,3.3,2.3,4.2,0.5,0.45,14,1,2.6,"B-BIO",5,NA,3.33,17.1,30.5
"105","Harufjaerden",65.5825,22.8791,"2012-09-23",3679535,171201723,1841309,"OC-DX","lipid weight",4.5,1,0.92,4.8,1.2,1.8,43,38,2.1,2.1,2.6,0.5,1.5,7.1,1.2,1.6,"B-BIO",5,NA,2,14.5,31.2
"106","Harufjaerden",65.5825,22.8791,"2012-09-23",3679536,172401735,1841309,"OC-DX","lipid weight",4.7,1.2,3.3,4.6,1.2,23,39,44,2.1,6,1.6,0.5,2.5,7.9,4,1.6,"B-BIO",4,NA,2.4,12.2,24.8
"107","Harufjaerden",65.5825,22.8791,"2013-09-22",3681330,174501756,1841370,"OC-DX","lipid weight",5.4,0.84,2.2,4.1,0.46,4.6,39,37,2.7,2.1,1.9,0.5,1.8,6.5,2.2,2.1,"B-BIO",4,NA,2.3,16,25.6
"108","Harufjaerden",65.5825,22.8791,"2013-09-22",3681331,175701768,1841370,"OC-DX","lipid weight",5.1,0.78,1.1,3.7,0.61,3.3,29,23,2.1,1,1.2,0.5,1.7,5.2,3.3,1.2,"B-BIO",4,NA,2.9,16.3,24.1
"109","Harufjaerden",65.5825,22.8791,"2014-09-28",3664028,250402515,1839638,"OC-DX","lipid weight",4.3,0.5,0.8,4.5,0.35,0.74,30,39,2.1,0.68,1.5,1,0.81,6,0.51,1.6,"B-BIO",4,NA,3.59,17.1,31.6
"110","Harufjaerden",65.5825,22.8791,"2014-09-28",3664029,251602527,1839638,"OC-DX","lipid weight",3.7,0.45,0.85,3.7,0.34,0.86,26,34,1.5,0.53,1.5,0.19,1.22,4.7,0.65,1.3,"B-BIO",3,NA,2.82,16,25.7
"111","Holmoearna",63.6808,20.8768,"2009-09-15",3686649,430704418,1841599,"OC-DX","wet weight",0.08339,0.015064,0.07801,0.0807,0.016409,0.2959,0.5111,0.4573,0.05649,0.17485,0.022865,0.00269,0.02959,0.09415,0.15064,0.0269,"B-BIO",4,21.6,2.69,16.2,26.6
"112","Holmoearna",63.6808,20.8768,"2009-09-15",3686650,439504406,1841599,"OC-DX","wet weight",0.07471,0.016388,0.09881,0.07953,0.010604,0.2892,0.4579,0.4338,0.08194,0.2892,0.020003,0.00241,0.03856,0.09881,0.18798,0.02651,"B-BIO",4,21.5,2.41,15.9,25.8
"113","Holmoearna",63.6808,20.8768,"2010-09-13",3687824,457704588,1841657,"OC-DX","wet weight",0.0736,0.0253,0.0483,0.0575,0.023,0.1357,0.575,0.667,0.0391,0.046,0.0322,0.046,0.046,0.1288,0.115,0.0253,"B-BIO",4,20.6,2.3,17.1,32.1
"114","Holmoearna",63.6808,20.8768,"2010-09-13",3687825,458904600,1841657,"OC-DX","wet weight",0.1056,0.0297,0.0528,0.0957,0.033,0.1518,0.891,0.759,0.0561,0.0627,0.0561,0.066,0.0495,0.165,0.099,0.0363,"B-BIO",4,20.6,3.3,16.9,31.6
"115","Holmoearna",63.6808,20.8768,"2011-09-01",3679090,198401995,1841281,"OC-DX","lipid weight",2.7,0.54,1,2.2,0.33,1.8,20,18,1.4,1.3,1.1,0.5,0.94,3.3,0.81,1,"B-BIO",4,20.4,2.22,16.5,29.6
"116","Holmoearna",63.6808,20.8768,"2011-09-01",3679091,199602007,1841281,"OC-DX","lipid weight",2.2,0.47,0.73,1.8,0.32,1.6,18,17,1,1.3,0.9,0.5,1.2,3,0.94,0.6,"B-BIO",4,20.8,2.34,16.7,30.7
"117","Holmoearna",63.6808,20.8768,"2012-08-28",3680887,164301654,1841343,"OC-DX","lipid weight",3,0.47,1.3,2.3,0.5,1.1,32,17,7.7,0.5,0.58,0.5,4.6,4,0.7,1.1,"B-BIO",5,21.1,2.2,15.9,33.6
"118","Holmoearna",63.6808,20.8768,"2012-08-28",3680888,165501666,1841343,"OC-DX","lipid weight",3.5,0.5,1.6,2,0.5,1,29,20,2.1,0.57,1.1,0.5,0.85,3.6,0.7,1.1,"B-BIO",5,20.8,2.2,16.3,35.4
"119","Holmoearna",63.6808,20.8768,"2013-09-02",3682672,145201463,1841403,"OC-DX","lipid weight",3,1.2,2.5,2.4,0.33,4.8,27,29,1.4,2.3,1.5,0.5,1.7,3.2,1.4,1.2,"B-BIO",4,22.3,3.4,16.1,29.9
"120","Holmoearna",63.6808,20.8768,"2013-09-02",3682673,146401475,1841403,"OC-DX","lipid weight",2,0.63,1.1,1.8,0.35,2.5,15,14,0.91,1.1,0.68,0.5,1.2,2.5,0.7,0.77,"B-BIO",4,21.3,3.9,15.5,30.6
"121","Holmoearna",63.6808,20.8768,"2014-09-05",3665279,192701938,1839670,"OC-DX","lipid weight",3.1,0.4,0.55,2.5,0.18,0.76,21,18,1.4,0.44,1,1,1,3.6,0.44,0.87,"B-BIO",5,NA,3.02,17.7,36.6
"122","Holmoearna",63.6808,20.8768,"2014-09-05",3665280,193901950,1839670,"OC-DX","lipid weight",2.2,0.33,0.85,2.3,0.15,0.86,19,19,1.5,0.58,1,1,1.2,3.9,0.56,1.1,"B-BIO",4,NA,2.52,17.6,36.7
"123","Kinnbaecksfjaerden",65.0568,21.475,"2009-10-12",3686488,481504826,1841594,"OC-DX","wet weight",0.1332,0.03145,0.0592,0.1184,0.01591,0.2183,0.962,0.888,0.0703,0.1443,0.03293,0.01221,0.0629,0.1813,0.3034,0.037,"B-BIO",5,22.5,3.7,17.3,34.3
"124","Kinnbaecksfjaerden",65.0568,21.475,"2009-10-12",3686489,482704838,1841594,"OC-DX","wet weight",0.12792,0.024336,0.04992,0.11544,0.011544,0.1404,0.8424,0.8736,0.06864,0.07488,0.024336,0.00312,0.03744,0.1404,0.14976,0.03744,"B-BIO",4,22,3.12,15.7,32.8
"125","Kinnbaecksfjaerden",65.0568,21.475,"2010-10-11",3687618,995309964,1841649,"OC-DX","wet weight",0.1875,0.07,0.1725,0.1575,0.0325,0.5,0.975,0.825,0.09,0.1575,0.065,0.05,0.0375,0.225,0.1425,0.0825,"B-BIO",5,21.2,2.5,17.1,32.8
"126","Kinnbaecksfjaerden",65.0568,21.475,"2010-10-11",3687619,996509976,1841649,"OC-DX","wet weight",0.1079,0.0273,0.0897,0.0897,0.013,0.312,0.741,0.832,0.0481,0.0611,0.0403,0.052,0.0195,0.143,0.0897,0.0377,"B-BIO",5,21.2,1.3,17.1,32.8
"127","Kinnbaecksfjaerden",65.0568,21.475,"2011-10-10",3678771,448904500,1841273,"OC-DX","lipid weight",4.2,0.51,0.8,4.2,0.55,1.3,35,31,1.5,1.3,1.6,0.5,0.77,5.8,0.84,1.5,"B-BIO",5,21.3,3.11,17.6,35
"128","Kinnbaecksfjaerden",65.0568,21.475,"2011-10-10",3678772,450104512,1841273,"OC-DX","lipid weight",4.6,0.52,0.72,4.1,0.41,1.6,35,29,1.6,1.4,1.6,0.5,0.72,5.8,0.72,1.1,"B-BIO",5,21.4,3.45,17.3,34.6
"129","Kinnbaecksfjaerden",65.0568,21.475,"2012-10-01",3680576,240802419,1841335,"OC-DX","lipid weight",8.1,1.1,0.9,7,0.55,0.78,69,33,2.9,1.6,3.1,0.5,1.7,8.8,1.3,2,"B-BIO",7,21.1,2.1,17.9,35.9
"130","Kinnbaecksfjaerden",65.0568,21.475,"2012-10-01",3680577,242002431,1841335,"OC-DX","lipid weight",9.2,1.6,0.81,8.7,0.72,0.98,77,41,3.2,1.1,3.8,0.5,0.89,13,0.7,1.9,"B-BIO",6,21.8,3.5,16.9,39.3
"131","Kinnbaecksfjaerden",65.0568,21.475,"2013-09-30",3682366,419404205,1841395,"OC-DX","lipid weight",4,0.74,0.9,3,0.3,2,34,31,2,1,1.5,0.5,1.3,5.7,0.7,1.4,"B-BIO",4,22.3,3.6,16.8,29.6
"132","Kinnbaecksfjaerden",65.0568,21.475,"2013-09-30",3682367,420604217,1841395,"OC-DX","lipid weight",3.6,0.64,0.56,3.4,0.3,2.7,31,30,1.6,1,1.1,0.5,1.5,4.8,1.3,1.7,"B-BIO",NA,22,3.6,NA,NA
"133","Kinnbaecksfjaerden",65.0568,21.475,"2014-09-29",3664960,447504486,1839662,"OC-DX","lipid weight",4.3,0.47,0.6,3.9,0.45,0.7,28,33,2,0.68,1.3,1,0.9,5.5,0.42,1.2,"B-BIO",5,NA,3.81,17.5,36.3
"134","Kinnbaecksfjaerden",65.0568,21.475,"2014-09-29",3664961,448704498,1839662,"OC-DX","lipid weight",3.9,0.48,0.6,3.1,0.21,0.39,26,28,1.8,0.58,1.7,1,1.2,4.3,0.33,1.2,"B-BIO",5,NA,3.78,17.7,37.7
"135","Kullen",56.3251,12.3811,"2009-10-12",3686943,905209063,1841613,"OC-DX","wet weight",0.10095,0.027593,0.047783,0.062589,0.011441,0.07403,0.32304,0.673,0.064608,0.07403,0.034996,0.00673,0.022209,0.11441,0.037688,0.042399,"B-BIO",3,33.3,6.73,20.4,51.3
"136","Kullen",56.3251,12.3811,"2009-10-12",3686944,906409075,1841613,"OC-DX","wet weight",0.08616,0.023694,0.05385,0.0718,0.015796,0.1077,0.33028,0.69646,0.06821,0.060312,0.033028,0.00718,0.020822,0.1436,0.041644,0.044516,"B-BIO",3,34.5,7.18,20.4,53.8
"137","Kullen",56.3251,12.3811,"2010-09-29",3688020,806608077,1841672,"OC-DX","wet weight",0.1177,0.02782,0.05885,0.0749,0.02675,0.107,0.3745,0.8025,0.0535,0.05671,0.04387,0.0535,0.0428,0.1177,0.107,0.0428,"B-BIO",4,29.6,10.7,26.7,132.9
"138","Kullen",56.3251,12.3811,"2010-09-29",3688021,807808089,1841672,"OC-DX","wet weight",0.1284,0.03424,0.0749,0.0963,0.02461,0.1284,0.4922,0.963,0.05992,0.07276,0.05029,0.0535,0.0428,0.1605,0.107,0.05136,"B-BIO",4,30.8,10.7,26.2,125.9
"139","Kullen",56.3251,12.3811,"2011-10-06",3679452,800908020,1841297,"OC-DX","lipid weight",1.1,0.21,0.41,0.89,0.25,0.6,5.6,13,0.65,0.54,0.46,0.5,0.41,2,0.7,0.53,"B-BIO",4,26.2,7.99,24,103.3
"140","Kullen",56.3251,12.3811,"2011-10-06",3679453,802108032,1841297,"OC-DX","lipid weight",1.2,0.16,0.36,0.87,0.21,0.73,4.6,10,0.52,0.54,0.47,0.5,0.2,1.4,0.7,0.61,"B-BIO",4,28.8,10.96,24.1,106.8
"141","Kullen",56.3251,12.3811,"2012-09-20",3681248,735807369,1841359,"OC-DX","lipid weight",1.1,0.17,0.37,0.82,0.11,0.7,4.1,11,0.56,0.53,0.48,0.5,0.26,1.8,0.7,0.53,"B-BIO",4,30,11.6,22,104
"142","Kullen",56.3251,12.3811,"2012-09-20",3681249,737007381,1841359,"OC-DX","lipid weight",1.1,0.19,0.31,0.61,0.12,0.72,4.3,11,0.47,0.23,0.43,0.5,0.26,1.4,0.7,0.71,"B-BIO",4,30,11.7,17.4,99.6
"143","Kullen",56.3251,12.3811,"2013-09-25",3683033,443404445,1841419,"OC-DX","lipid weight",1.2,0.3,0.49,0.6,0.3,0.7,5.7,9.8,0.43,0.68,0.5,0.5,0.35,2.1,0.66,0.66,"B-BIO",4,29.1,15.2,24.7,118.8
"144","Kullen",56.3251,12.3811,"2013-09-25",3683034,444604457,1841419,"OC-DX","lipid weight",0.87,0.3,0.44,0.63,0.3,0.7,4.7,8.8,0.48,0.34,0.43,0.5,0.26,1.7,0.77,0.42,"B-BIO",4,28.5,15.5,24.3,119.7
"145","Kullen",56.3251,12.3811,"2014-10-28",3665684,725807269,1839686,"OC-DX","lipid weight",1.4,0.15,0.36,0.94,0.15,0.3,5.5,11,0.53,0.43,0.4,0.07,0.31,1.9,0.19,0.58,"B-BIO",4,NA,12.85,24.3,104.8
"146","Kullen",56.3251,12.3811,"2014-10-28",3665685,727007281,1839686,"OC-DX","lipid weight",1.6,0.15,0.41,0.9,0.15,0.25,6,11,0.7,0.79,0.77,0.15,0.36,2.2,0.47,0.59,"B-BIO",4,NA,12.42,24.2,102.5
"147","Lagnoe",59.5652,18.8348,"2009-08-25",3686947,288102892,1841615,"OC-DX","wet weight",0.07614,0.02592,0.0972,0.08424,0.011988,0.3078,0.7128,0.3402,0.04698,0.15552,0.04698,0.00486,0.05022,0.10044,0.15552,0.02916,"B-BIO",5,19.5,1.62,16.9,28.1
"148","Lagnoe",59.5652,18.8348,"2009-08-25",3686948,289302904,1841615,"OC-DX","wet weight",0.088,0.02288,0.10032,0.0968,0.02112,0.2816,0.5984,0.352,0.07568,0.3696,0.03696,0.005104,0.04224,0.10208,0.176,0.02816,"B-BIO",5,20.9,1.76,16.4,28
"149","Lagnoe",59.5652,18.8348,"2010-08-25",3688024,389203903,1841674,"OC-DX","wet weight",0.0891,0.027,0.0729,0.1053,0.027,0.2241,0.621,0.837,0.0486,0.0729,0.0486,0.054,0.0405,0.1593,0.1269,0.0432,"B-BIO",4,21.3,2.7,16.6,28.2
"150","Lagnoe",59.5652,18.8348,"2010-08-25",3688025,390403915,1841674,"OC-DX","wet weight",0.0726,0.0363,0.165,0.0693,0.02475,0.561,0.462,0.429,0.0462,0.1056,0.0462,0.066,0.0462,0.0957,0.1815,0.0462,"B-BIO",4,21,3.3,16.5,26.8
"151","Lagnoe",59.5652,18.8348,"2011-08-23",3679457,91700927,1841299,"OC-DX","lipid weight",3.5,0.32,0.53,2,0.25,1.1,27,25,1.2,1.2,1.1,0.5,0.8,4,0.9,1.2,"B-BIO",5,22.2,3.76,17.2,32.7
"152","Lagnoe",59.5652,18.8348,"2011-08-23",3679458,92800939,1841299,"OC-DX","lipid weight",3.1,0.48,0.73,2.1,0.19,1.2,31,22,1,1.7,1.1,0.5,0.73,4,0.79,1,"B-BIO",5,21.5,3.54,18.3,42.1
"153","Lagnoe",59.5652,18.8348,"2012-08-21",3681252,95800969,1841361,"OC-DX","lipid weight",5.2,0.76,0.87,2.5,0.3,3,28,23,4,1.4,1.6,0.5,1.5,4.1,0.7,1.1,"B-BIO",5,21.5,2.2,17.6,29.3
"154","Lagnoe",59.5652,18.8348,"2012-08-21",3681253,97000981,1841361,"OC-DX","lipid weight",4.9,0.71,0.9,3.2,0.64,2.1,30,33,3.9,2.5,1.7,0.5,1.8,4.3,1.5,1.9,"B-BIO",5,21.7,2.3,17.1,32.1
"155","Lagnoe",59.5652,18.8348,"2013-08-22",3683037,237502386,1841421,"OC-DX","lipid weight",7,1.8,9.8,8.4,1.6,12,47,25,3.6,2.7,2.2,1.3,2.5,5.1,2.9,2.5,"B-BIO",4,19.2,1.2,16.5,28
"156","Lagnoe",59.5652,18.8348,"2013-08-22",3683038,238702398,1841421,"OC-DX","lipid weight",4.7,1.3,2.6,2.9,0.69,3.8,38,26,2.4,2.6,2,0.5,1.9,5,1.4,1.4,"B-BIO",5,20.6,2,17,27.9
"157","Lagnoe",59.5652,18.8348,"2014-08-19",3665688,799708008,1839688,"OC-DX","lipid weight",1.6,0.15,0.39,1.3,0.09,0.76,16,16,0.61,0.34,0.38,1,0.72,1.9,0.58,0.73,"B-BIO",4,NA,4.24,16.9,34
"158","Lagnoe",59.5652,18.8348,"2014-08-19",3665689,800908020,1839688,"OC-DX","lipid weight",1.6,0.22,0.46,1.3,0.12,0.79,22,24,0.65,0.45,0.43,0.11,0.86,2,0.58,0.5,"B-BIO",4,NA,3.89,16.4,30
"159","Landsort",58.6936,18.0043,"2009-11-12",3686676,739907410,1841602,"OC-DX","wet weight",0.1881,0.0363,0.0429,0.0693,0.01089,0.1287,0.627,0.924,0.0561,0.0561,0.0429,0.0033,0.0363,0.1782,0.1122,0.0528,"B-BIO",5,NA,3.3,16.9,29.7
"160","Landsort",58.6936,18.0043,"2009-11-12",3686677,741107422,1841602,"OC-DX","wet weight",0.2016,0.0468,0.1116,0.1512,0.02196,0.36,1.404,1.296,0.1116,0.2808,0.0972,0.00504,0.03096,0.3312,0.2592,0.072,"B-BIO",6,NA,3.6,17.5,33.9
"161","Landsort",58.6936,18.0043,"2010-10-12",3687867,920309214,1841662,"OC-DX","wet weight",0.105,0.03,0.051,0.075,0.03,0.129,0.66,0.6,0.066,0.045,0.051,0.06,0.045,0.12,0.09,0.042,"B-BIO",4,NA,3,15,19.3
"162","Landsort",58.6936,18.0043,"2010-10-12",3687868,921509224,1841662,"OC-DX","wet weight",0.0828,0.036,0.0504,0.0684,0.036,0.2124,0.648,0.756,0.0576,0.054,0.0504,0.072,0.054,0.126,0.108,0.0396,"B-BIO",4,NA,3.6,15,20.1
"163","Landsort",58.6936,18.0043,"2011-10-25",3679134,413604147,1841285,"OC-DX","lipid weight",5.1,0.49,0.56,1.9,0.21,0.64,22,27,1.5,1,1.6,0.5,0.56,5.1,0.7,1.6,"B-BIO",5,NA,6.27,18.1,40.2
"164","Landsort",58.6936,18.0043,"2011-10-25",3679135,414804159,1841285,"OC-DX","lipid weight",3.8,0.72,0.75,2.1,0.33,0.65,23,27,2,0.78,2,0.5,0.39,5.3,0.7,1.3,"B-BIO",5,NA,6.65,17.5,36.6
"165","Landsort",58.6936,18.0043,"2012-12-20",3680930,709807109,1841347,"OC-DX","lipid weight",2.7,0.32,0.9,1.5,0.16,1.3,20,26,3.5,0.75,1.3,0.5,0.8,5.3,0.7,1.7,"B-BIO",5,NA,4.5,16.7,39.3
"166","Landsort",58.6936,18.0043,"2012-12-20",3680931,711007121,1841347,"OC-DX","lipid weight",3.9,0.66,0.61,1.3,0.41,1,30,37,4.3,0.57,2.1,0.5,0.82,8.1,0.7,1.7,"B-BIO",5,NA,5.6,18.1,40.3
"167","Landsort",58.6936,18.0043,"2013-10-06",3682715,481004821,1841407,"OC-DX","lipid weight",4.4,1,1.4,2.5,0.61,2.1,32,26,2.3,1.3,2.3,0.5,0.86,6.4,1.3,2.2,"B-BIO",5,NA,4.5,18,35.8
"168","Landsort",58.6936,18.0043,"2013-10-06",3682716,482204833,1841407,"OC-DX","lipid weight",4.3,0.8,1.2,3.3,0.53,2.6,46,27,2.9,1.2,3,0.5,0.8,7.5,1.1,2.4,"B-BIO",7,NA,4.8,18.5,39.5
"169","Landsort",58.6936,18.0043,"2014-11-10",3665322,470904720,1839674,"OC-DX","lipid weight",1.7,0.37,0.65,1.3,0.16,0.88,20,21,1.4,0.52,0.86,1,0.95,4.1,0.47,1.1,"B-BIO",5,NA,4.63,18.4,40.4
"170","Landsort",58.6936,18.0043,"2014-11-10",3665323,472104732,1839674,"OC-DX","lipid weight",2.3,0.25,0.55,1.6,0.17,0.6,17,20,1.6,0.42,1.1,1,0.77,3.7,0.44,0.91,"B-BIO",5,NA,5.79,18.1,38.7
"171","Langvindsfjaerden",61.4554,17.1622,"2009-08-13",3686945,269202703,1841614,"OC-DX","wet weight",0.09275,0.016275,0.02975,0.11375,0.03325,0.063,0.665,0.63,0.04375,0.04025,0.04725,0.007,0.0245,0.15575,0.1925,0.0455,"B-BIO",4,20.6,1.75,18,36.1
"172","Langvindsfjaerden",61.4554,17.1622,"2009-08-13",3686946,270402715,1841614,"OC-DX","wet weight",0.13552,0.0242,0.0605,0.13552,0.04356,0.2662,1.0164,1.0406,0.06776,0.07502,0.0726,0.0363,0.05324,0.22506,0.5082,0.07502,"B-BIO",5,21.3,2.42,17.9,37.6
"173","Langvindsfjaerden",61.4554,17.1622,"2010-08-10",3688022,376703778,1841673,"OC-DX","wet weight",0.0825,0.025,0.05,0.045,0.025,0.1575,0.675,0.55,0.0425,0.05,0.0275,0.05,0.0375,0.0825,0.125,0.0325,"B-BIO",4,21.4,2.5,17,30.6
"174","Langvindsfjaerden",61.4554,17.1622,"2010-08-10",3688023,377903790,1841673,"OC-DX","wet weight",0.136,0.052,0.188,0.128,0.03,0.48,0.84,1.04,0.06,0.12,0.068,0.08,0.06,0.188,0.16,0.056,"B-BIO",5,20.5,4,16.4,26.9
"175","Langvindsfjaerden",61.4554,17.1622,"2011-08-09",3679454,99601007,1841298,"OC-DX","lipid weight",4.2,0.42,0.77,3.8,0.46,2,31,33,2.1,2.2,0.96,0.5,0.57,5.7,1,1.7,"B-BIO",5,21.4,2.61,19.1,39.9
"176","Langvindsfjaerden",61.4554,17.1622,"2011-08-09",3679456,100801019,1841298,"OC-DX","lipid weight",2.9,0.37,1.2,2.5,0.28,4,20,26,1.3,1.4,1.1,0.5,0.69,4,1.2,1.5,"B-BIO",4,23,3.49,17.9,39.7
"177","Langvindsfjaerden",61.4554,17.1622,"2012-08-07",3681250,88300894,1841360,"OC-DX","lipid weight",3.3,0.42,0.7,2.5,0.4,0.99,23,31,1.8,1.3,1.1,0.5,0.7,4,0.7,1.7,"B-BIO",4,21,3.9,15.6,32
"178","Langvindsfjaerden",61.4554,17.1622,"2012-08-07",3681251,89500906,1841360,"OC-DX","lipid weight",3.9,0.32,0.79,2.2,0.3,0.59,27,34,3.4,1.4,1.1,0.5,0.74,6,0.7,1.7,"B-BIO",4,21.5,4.4,17.1,32.2
"179","Langvindsfjaerden",61.4554,17.1622,"2013-08-14",3683035,37500386,1841420,"OC-DX","lipid weight",4.1,0.99,2.3,3.2,0.3,2.7,25,31,2.4,2.2,1.1,0.5,1.2,4.6,2.7,1.5,"B-BIO",4,21.7,3.1,17,31.5
"180","Langvindsfjaerden",61.4554,17.1622,"2013-08-14",3683036,38700398,1841420,"OC-DX","lipid weight",4.5,0.8,1.7,3.1,0.3,4.5,33,29,2.4,1.8,2,0.5,1.7,6.1,1.3,1.4,"B-BIO",4,21.6,2.4,16.6,30.7
"181","Langvindsfjaerden",61.4554,17.1622,"2014-08-18",3665686,817208183,1839687,"OC-DX","lipid weight",4,0.48,0.7,3.6,0.27,0.7,20,22,1.4,0.58,1.1,0.21,1.2,3.8,0.6,1.4,"B-BIO",4,NA,2.94,17.1,32.7
"182","Langvindsfjaerden",61.4554,17.1622,"2014-08-18",3665687,818408195,1839687,"OC-DX","lipid weight",3.4,0.4,0.75,3.6,0.39,0.86,21,24,1.4,0.79,1.1,0.2,1.2,4.8,0.56,1.7,"B-BIO",4,NA,3,16.4,30.6
"183","Ranefjaerden",65.7555,22.4181,"2009-09-17",3686949,917409185,1841616,"OC-DX","wet weight",0.07552,0.017936,0.15576,0.11092,0.010148,0.354,0.4956,0.5664,0.059,0.236,0.012272,0.006608,0.04012,0.08968,0.2596,0.02832,"B-BIO",5,20.6,2.36,15.9,23.9
"184","Ranefjaerden",65.7555,22.4181,"2009-09-17",3686950,918609197,1841616,"OC-DX","wet weight",0.10191,0.018723,0.07347,0.0948,0.011613,0.2607,0.6162,0.5925,0.07821,0.17538,0.011613,0.00237,0.03555,0.11376,0.17538,0.03081,"B-BIO",5,20.5,2.37,16,24.7
"185","Ranefjaerden",65.7555,22.4181,"2010-09-17",3688026,1134311354,1841675,"OC-DX","wet weight",0.106,0.028,0.06,0.142,0.02,0.166,0.64,0.62,0.036,0.048,0.044,0.04,0.03,0.12,0.08,0.04,"B-BIO",4,22.2,2,14.8,26.2
"186","Ranefjaerden",65.7555,22.4181,"2010-09-17",3688027,1135511366,1841675,"OC-DX","wet weight",0.0901,0.0238,0.0459,0.1054,0.017,0.153,0.714,0.476,0.0442,0.0493,0.0408,0.034,0.0255,0.1122,0.068,0.0289,"B-BIO",4,18.7,1.7,15.8,24.2
"187","Ranefjaerden",65.7555,22.4181,"2011-09-12",3679459,594805959,1841300,"OC-DX","lipid weight",5.7,0.89,1.1,6.3,0.78,2,44,45,2.3,1.9,2.2,0.5,1.4,8.3,1.3,1.8,"B-BIO",4,18.3,1.92,15.9,26.3
"188","Ranefjaerden",65.7555,22.4181,"2011-09-12",3679460,596005971,1841300,"OC-DX","lipid weight",4.8,0.57,1,3.7,0.34,2.3,31,32,1.7,1.4,1.3,0.5,1.2,6.1,0.78,1.4,"B-BIO",4,19,2.3,15.6,25.9
"189","Ranefjaerden",65.7555,22.4181,"2012-09-17",3681254,491504926,1841362,"OC-DX","lipid weight",6.3,0.62,0.83,4.3,0.46,0.93,51,27,3.7,2,1.3,0.5,2.1,8.5,0.84,1.5,"B-BIO",5,19.2,1.8,13.9,28
"190","Ranefjaerden",65.7555,22.4181,"2012-09-17",3681255,492704938,1841362,"OC-DX","lipid weight",5,0.61,0.68,3.2,0.35,1.3,31,23,6.4,1.7,0.83,0.5,1.8,5.2,0.7,1.1,"B-BIO",5,19,1.8,12.4,28.2
"191","Ranefjaerden",65.7555,22.4181,"2013-09-09",3683039,593705948,1841422,"OC-DX","lipid weight",3.6,1,2.3,3.5,0.85,2.8,25,29,1.4,1.6,1.5,0.5,2.1,4.7,0.7,1.2,"B-BIO",3,21.7,2.6,14.6,20.5
"192","Ranefjaerden",65.7555,22.4181,"2013-09-09",3683040,594905960,1841422,"OC-DX","lipid weight",5.4,1.2,3,3.6,0.51,3.9,42,46,3.2,1.1,2.1,0.5,1.9,6.3,0.7,2.1,"B-BIO",3,21.8,3.5,14.5,21.2
"193","Ranefjaerden",65.7555,22.4181,"2014-11-01",3665690,912609137,1839689,"OC-DX","lipid weight",3.8,0.48,0.8,4.5,0.5,0.51,29,34,1.7,0.68,1.5,1,1.3,5.5,0.42,1.6,"B-BIO",3,NA,2.57,16.5,28.7
"194","Ranefjaerden",65.7555,22.4181,"2014-11-01",3665691,913809149,1839689,"OC-DX","lipid weight",3.7,0.29,0.65,3.2,0.36,0.65,25,30,1.4,0.84,1,1,1.3,4.2,0.65,1.4,"B-BIO",3,NA,2.63,16.2,27.1
"195","Utlaengan",55.9491,15.781,"2001-09-10",3666640,593705939,1839764,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.8,NA,NA
