c_square,year,mid_lat,mid_lon,Reported,fishing_ho,rgn_nam,rgn_key,Subbasin,HELCOM_ID,BHI_ID,Area_km2
1501:140:354:4,2013,54.575,10.475,Yes,1.611111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:360:2,2013,54.625,10.075,Yes,20.672222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:360:3,2013,54.675,10.025,Yes,7.583333,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:360:4,2013,54.675,10.075,Yes,23.361111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:361:1,2013,54.625,10.125,Yes,173.105556,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:361:2,2013,54.625,10.175,Yes,91.305556,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:361:3,2013,54.675,10.125,Yes,78.333333,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:361:4,2013,54.675,10.175,Yes,90.727778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:362:1,2013,54.625,10.225,Yes,29.522222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:362:2,2013,54.625,10.275,Yes,9.327778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:362:3,2013,54.675,10.225,Yes,115.127778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:362:4,2013,54.675,10.275,Yes,139.183333,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:362:4,2013,54.675,10.275,Yes,139.183333,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:363:1,2013,54.625,10.325,Yes,64.022222,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:363:1,2013,54.625,10.325,Yes,64.022222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:363:2,2013,54.625,10.375,Yes,50.577778,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:363:2,2013,54.625,10.375,Yes,50.577778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:363:3,2013,54.675,10.325,Yes,211.855556,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:363:3,2013,54.675,10.325,Yes,211.855556,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:363:4,2013,54.675,10.375,Yes,260.288889,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:364:1,2013,54.625,10.425,Yes,36.427778,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:364:1,2013,54.625,10.425,Yes,36.427778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:364:2,2013,54.625,10.475,Yes,17.194444,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:364:2,2013,54.625,10.475,Yes,17.194444,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:364:3,2013,54.675,10.425,Yes,223.9,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:364:4,2013,54.675,10.475,Yes,175.122222,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:370:1,2013,54.725,10.025,Yes,13.116667,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:370:2,2013,54.725,10.075,Yes,35.227778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:370:3,2013,54.775,10.025,Yes,59.65,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:370:3,2013,54.775,10.025,Yes,59.65,Germany,DEU,Great Belt,SEA-002,4,140.98877
1501:140:370:3,2013,54.775,10.025,Yes,59.65,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:370:4,2013,54.775,10.075,Yes,46.577778,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:370:4,2013,54.775,10.075,Yes,46.577778,Germany,DEU,Great Belt,SEA-002,4,140.98877
1501:140:370:4,2013,54.775,10.075,Yes,46.577778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:371:1,2013,54.725,10.125,Yes,111.744444,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:371:2,2013,54.725,10.175,Yes,167.166667,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:371:3,2013,54.775,10.125,Yes,94.622222,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:371:3,2013,54.775,10.125,Yes,94.622222,Germany,DEU,Great Belt,SEA-002,4,140.98877
1501:140:371:3,2013,54.775,10.125,Yes,94.622222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:371:4,2013,54.775,10.175,Yes,194.827778,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:371:4,2013,54.775,10.175,Yes,194.827778,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:371:4,2013,54.775,10.175,Yes,194.827778,Germany,DEU,Great Belt,SEA-002,4,140.98877
1501:140:371:4,2013,54.775,10.175,Yes,194.827778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:372:1,2013,54.725,10.225,Yes,226.038889,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:372:1,2013,54.725,10.225,Yes,226.038889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:372:2,2013,54.725,10.275,Yes,114.305556,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:372:2,2013,54.725,10.275,Yes,114.305556,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:372:3,2013,54.775,10.225,Yes,173.361111,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:372:3,2013,54.775,10.225,Yes,173.361111,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:372:3,2013,54.775,10.225,Yes,173.361111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:372:4,2013,54.775,10.275,Yes,102.205556,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:372:4,2013,54.775,10.275,Yes,102.205556,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:373:1,2013,54.725,10.325,Yes,45.066667,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:373:2,2013,54.725,10.375,Yes,13.516667,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:373:3,2013,54.775,10.325,Yes,123.372222,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:373:4,2013,54.775,10.375,Yes,61.7,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:374:1,2013,54.725,10.425,Yes,3.9,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:374:2,2013,54.725,10.475,Yes,11.455556,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
