No;Group;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;Valid taxon name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon
527;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Einfeldia;;carbonaria;;Einfeldia carbonaria;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;
528;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Electridae;Einhornia;;crustulenta;;Einhornia crustulenta;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;;X;X;X;X;
529;Oligochaeta;Animalia;Annelida;Clitellata;Opisthopora;Lumbricidae;Eiseniella;;tetraedra;;Eiseniella tetraedra;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X
530;Echinodermata;Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Phyllophoridae;Ekmania;;barthii;;Ekmania barthii;X;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
531;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Electridae;Electra;;pilosa;;Electra pilosa;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;;X;X;;X;;;
532;Lepidoptera;Animalia;Arthropoda;Insecta;Lepidoptera;Pyralidae;Elophila;;;;Elophila nymphaeata;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;
533;Gastropoda;Animalia;Mollusca;Gastropoda;Sacoglossa;Elysiidae;Elysia;;viridis;;Elysia viridis;;;;;;;;X;;;;;;;;;;;;;X;;X;;;;;;;;;
534;Gastropoda;Animalia;Mollusca;Gastropoda;;Fissurellidae;Emarginula;;crassa;;Emarginula crassa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;Gastropoda;Animalia;Mollusca;Gastropoda;;Fissurellidae;Emarginula;;fissura;;Emarginula fissura;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
536;Odonata;Animalia;Arthropoda;Insecta;Odonata;Coenagrionidae;Enallagma;;cyathigerum;;Enallagma cyathigerum;X;;;;;;;;;;;;;;;;X;X;;;;;;;;;X;X;;;;X
537;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Enchytraeidae;Enchytraeus;;albidus;;Enchytraeus albidus;;;;;;X;X;X;;;;;;;;;;X;;;X;X;;;X;;;X;X;X;X;X
538;Pycnogonida;Animalia;Arthropoda;Pycnogonida;Pantopoda;Endeidae;Endeis;;spinosa;;Endeis spinosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
539;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Endochironomus;;albipennis;;Endochironomus albipennis;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;X;;;;
540;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Endochironomus;;dispar;;Endochironomus dispar;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X
541;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Endochironomus;;stackelbergi;;Endochironomus stackelbergi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
542;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Endochironomus;;tendens;;Endochironomus tendens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X
543;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Polynoidae;Enipo;;elisabethae;;Enipo elisabethae;;X;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
544;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Polynoidae;Enipo;;kinbergi;;Enipo kinbergi;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
545;Bivalvia;Animalia;Mollusca;Bivalvia;Nuculoida;Nuculidae;Ennucula;;tenuis;;Ennucula tenuis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
546;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;;fuscipennis;;Enochrus fuscipennis;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
547;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;;melanicephalus;;Enochrus melanicephalus;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
548;Bivalvia;Animalia;Mollusca;Bivalvia;[unassigned] Euheterodonta;Pharidae;Ensis;;directus;;Ensis directus;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;
549;Bivalvia;Animalia;Mollusca;Bivalvia;[unassigned] Euheterodonta;Pharidae;Ensis;;ensis;;Ensis ensis;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
550;Bivalvia;Animalia;Mollusca;Bivalvia;[unassigned] Euheterodonta;Pharidae;Ensis;;siliqua;;Ensis siliqua;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
551;Bryozoa;Animalia;Bryozoa;Stenolaemata;Cyclostomatida;Diaperoeciidae;Entalophoroecia;;deflexa;;Entalophoroecia deflexa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
552;Ephemeroptera;Animalia;Arthropoda;Insecta;Ephemeroptera;Ephemeridae;Ephemera;;danica;;Ephemera danica;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
553;Ephemeroptera;Animalia;Arthropoda;Insecta;Ephemeroptera;Ephemeridae;Ephemera;;vulgata;;Ephemera vulgata;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X
554;Ephemeroptera;Animalia;Arthropoda;Insecta;Ephemeroptera;Ephemerellidae ;Ephemerella ;;mucronata ;;Ephemerella mucronata ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
555;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Sphaerodoridae;Ephesiella;;abyssorum;;Ephesiella abyssorum;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
556;Ephemeroptera;Animalia;Arthropoda;Insecta;Ephemeroptera;Polymitarcyidae;Ephoron;;virgo ;;Ephoron virgo ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
557;Porifera;Animalia;Porifera;Demospongiae;Haplosclerida;Spongillidae;Ephydatia;;fluviatilis;;Ephydatia fluviatilis;;;;;;;;X;;;X;;;;;X;;;;X;;X;;;;;X;X;X;X;;X
558;Porifera;Animalia;Porifera;Demospongiae;Haplosclerida;Spongillidae;Ephydatia;;muelleri;;Ephydatia muelleri;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
559;Diptera;Animalia;Arthropoda;Insecta;Diptera;Ephydridae;Ephydra;;riparia;;Ephydra riparia;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
560;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Epimeriidae;Epimeria;;cornigera;;Epimeria cornigera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;Odonata;Animalia;Arthropoda;Insecta;Odonata;Corduliidae;Epitheca;;bimaculata;;Epitheca bimaculata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
562;Gastropoda;Animalia;Mollusca;Gastropoda;Caenogastropoda incertae sedis;Epitoniidae;Epitonium;;clathratulum;;Epitonium clathratulum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Epitoniidae;Epitonium;;clathrus;;Epitonium clathrus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;Gastropoda;Animalia;Mollusca;Gastropoda;Caenogastropoda incertae sedis;Epitoniidae;Epitonium;;trevelyanum;;Epitonium trevelyanum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Epitoniidae;Epitonium;;turtonis;;Epitonium turtonis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
566;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ischyroceridae;Ericthonius;;difformis;;Ericthonius difformis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;
567;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ischyroceridae;Ericthonius;;punctatus;;Ericthonius punctatus;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;
568;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Erinaceusyllis;;erinaceus;;Erinaceusyllis erinaceus;;;;;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;
569;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Grapsidae;Eriocheir;;sinensis;;Eriocheir sinensis;;;;;;X;X;X;X;;;;X;X;X;X;X;;;X;X;;;;X;;X;X;X;X;;X
570;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Eriopisa;;elongata;;Eriopisa elongata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Leptoceridae;Erotesis;;baltica;;Erotesis baltica;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
572;Hirudinea;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;;monostriata;;Erpobdella monostriata;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X
573;Hirudinea;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;;nigricollis;;Erpobdella nigricollis;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X
574;Hirudinea;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;;octoculata;;Erpobdella octoculata;;;;;;;;;;;;;;X;;X;X;;X;X;;;;;X;;X;X;X;;X;X
575;Hirudinea;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;;testacea;;Erpobdella testacea;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;X;;;;X
576;Odonata;Animalia;Arthropoda;Insecta;Odonata;Coenagrionidae;Erythromma;;najas;;Erythromma najas;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;X;;;;X
577;Mysida;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Erythrops;;elegans;;Erythrops elegans;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
578;Mysida;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Erythrops;;erythrophthalma;;Erythrops erythrophthalma;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579;Mysida;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Erythrops;;serrata;;Erythrops serrata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
580;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Romancheinidae;Escharella;;immersa;;Escharella immersa;X;X;;;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;
581;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Romancheinidae;Escharella;;laqueata;;Escharella laqueata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
582;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Romancheinidae;Escharella;;ventricosa;;Escharella ventricosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
583;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Escharinidae;Escharina;;vulgaris;;Escharina vulgaris;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eteone;;barbata;;Eteone barbata;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;
585;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eteone;;flava;;Eteone flava;X;X;X;;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;
586;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eteone;;foliosa;;Eteone foliosa;;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
587;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eteone;;lactea;;Eteone lactea ;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
588;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eteone;;longa;;Eteone longa;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;;X;;;;X;X;
589;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eteone;;pusilla;;Eteone pusilla;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
590;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Eualus;;cranchii;;Eualus cranchii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Eualus;;gaimardii;;Eualus gaimardii;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
592;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Eualus;;occultus;;Eualus occultus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Eualus;;pusiolus;;Eualus pusiolus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
594;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Eubranchidae;Eubranchus;;exiguus;;Eubranchus exiguus;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
595;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Eubranchidae;Eubranchus;;pallidus;;Eubranchus pallidus;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
596;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Eubranchidae;Eubranchus;;tricolor;;Eubranchus tricolor;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
597;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Eubrychius;;velutus;;Eubrychius velutus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
598;Polychaeta;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Euchone;;analis;;Euchone analis;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
599;Polychaeta;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Euchone;;papillosa;;Euchone papillosa;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;
600;Polychaeta;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Euchone;;rubrocincta;;Euchone rubrocincta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601;Polychaeta;Animalia;Annelida;Polychaeta;Capitellida;Maldanidae;Euclymene;;affinis;;Euclymene affinis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
602;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Eucrateidae;Eucratea;;loricata;;Eucratea loricata;X;;;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;;;;;;;;
603;Hydrozoa;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Eudendriidae;Eudendrium;;rameum;;Eudendrium rameum;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
604;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Leuconidae;Eudorella;;emarginata;;Eudorella emarginata;X;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
605;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Leuconidae;Eudorella;;truncatula;;Eudorella truncatula;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
606;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Leuconidae;Eudorellopsis;;deformis;;Eudorellopsis deformis;;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;;X;;;;;;
607;Ascidiacea;Animalia;Chordata;Ascidiacea;;Molgulidae;Eugyra;;arenosa;;Eugyra arenosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
608;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eulalia;;bilineata;;Eulalia bilineata;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;
609;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eulalia;;viridis;;Eulalia viridis;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;;;;;;;
610;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Eulimidae;Eulima;;bilineata;;Eulima bilineata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611;Gastropoda;Animalia;Mollusca;Gastropoda;[unassigned] Caenogastropoda;Newtoniellidae;Eumetula;;arctica;;Eumetula arctica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
612;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;;arctica;;Eumida arctica;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
613;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;;bahusiensis;;Eumida bahusiensis;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
614;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;;ockelmanni;;Eumida ockelmanni;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
615;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;;punctifera;;Eumida punctifera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;;sanguinea;;Eumida sanguinea;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;
617;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Eunereis;;longissima;;Eunereis longissima;X;;X;;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;
618;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Polynoidae;Eunoe;;nodosa;;Eunoe nodosa;X;X;X;X;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;
619;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Eupolymnia;;nebulosa;;Eupolymnia nebulosa;X;;;;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;
620;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Eupolymnia;;nesidensis;;Eupolymnia nesidensis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
621;Isopoda;Animalia;Arthropoda;Malacostraca;Isopoda;Munnopsidae;Eurycope;;mutica;;Eurycope mutica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
622;Isopoda;Animalia;Arthropoda;Malacostraca;Isopoda;Cirolanidae;Eurydice;;pulchra;;Eurydice pulchra;;;;;X;X;;X;X;;X;;;;;;X;;;;X;;X;;X;;;;X;;;X
623;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Majidae;Eurynome;;aspera;;Eurynome aspera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Majidae;Eurynome;;spinosa;;Eurynome spinosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
625;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Isaeidae;Eurystheus;;melanops;;Eurystheus melanops;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
626;Gastropoda;Animalia;Mollusca;Gastropoda;Littorinimorpha;Naticidae;Euspira;;catena;;Euspira catena;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
627;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Naticidae;Euspira;;montagui;;Euspira montagui;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
628;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Naticidae;Euspira;;pallida;;Euspira pallida;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
629;Gastropoda;Animalia;Mollusca;Gastropoda;Littorinimorpha;Naticidae;Euspira;;pulchella;;Euspira pulchella;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
630;Polychaeta;Animalia;Annelida;Polychaeta;;Opheliidae;Euzonus;;flabelligerus;;Euzonus flabelligerus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
631;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone;dispar;;Exogone (Exogone) dispar;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
632;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone;naidina;;Exogone (Exogone) naidina;X;;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;
633;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone;verugera;;Exogone (Exogone) verugera;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
634;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Parexogone;hebes;;Exogone (Parexogone) hebes;X;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
635;Polychaeta;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Fabricia;;stellaris;;Fabricia stellaris;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;
636;Polychaeta;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Fabriciola;;baltica;;Fabriciola baltica;;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;;;X;X;;X;;X;;;X;;;
637;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Facelinidae;Facelina;;bostoniensis;;Facelina bostoniensis;;;;X;X;X;X;;;;;;;;;;;;;;;X;X;X;X;;;;;;;
638;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Triticellidae;Farrella;;repens;;Farrella repens;;;;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;
639;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Facelinidae;Favorinus;;branchialis;;Favorinus branchialis;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;
640;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Microporellidae;Fenestrulina;;malusii;;Fenestrulina malusii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
641;Hydrozoa;Animalia;Cnidaria;Hydrozoa;Leptothecata;Lafoeidae;Filellum;;serpens;;Filellum serpens;;;;;X;;;;;;;;;;;;;;;;X;;;X;;;;;;;;
642;Polychaeta;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Filograna;;implexa;;Filograna implexa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
643;Polychaeta;Animalia;Annelida;Polychaeta;Flabelligerida;Flabelligeridae;Flabelligera;;affinis;;Flabelligera affinis;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;
644;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Flabellinidae;Flabellina;;verrucosa;;Flabellina verrucosa;;;X;;X;X;;;;;;;;;;;;;;;;X;;;;X;;;;;;
645;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Flustridae;Flustra;;foliacea;;Flustra foliacea;X;X;;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;
646;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Flustrellidridae;Flustrellida;;hispida;;Flustrellidra hispida;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
647;Gastropoda;Animalia;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Fossaria;;truncatula;;Fossaria truncatula;;;;;;;;;X;;;;;;;X;;;;;;;;;X;;;;;;;
648;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Enchytraeidae;Fridericia;;bulbosa;;Fridericia bulbosa;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;
649;Anthozoa;Animalia;Cnidaria;Anthozoa;Pennatulacea;Funiculinidae;Funiculina;;quadrangularis;;Funiculina quadrangularis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
650;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Galatheidae;Galathea;;intermedia;;Galathea intermedia;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
651;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Galatheidae;Galathea;;squamifera;;Galathea squamifera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
652;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Galatheidae;Galathea;;strigosa;;Galathea strigosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
653;Polychaeta;Animalia;Annelida;Polychaeta;Oweniida;Oweniidae;Galathowenia;;oculata;;Galathowenia oculata;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
654;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Gammarellidae;Gammarellus;;angulosus;;Gammarellus angulosus;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
655;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Gammarellidae;Gammarellus;;homari;;Gammarellus homari;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;X;X;;;;;;
656;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Photidae;Gammaropsis;;;;Gammaropsis cornuta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
657;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Photidae;Gammaropsis;;maculata;;Gammaropsis maculata;X;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
658;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Photidae;Gammaropsis;;melanops;;Gammaropsis melanops;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
659;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Photidae;Gammaropsis;;nitida;;Gammaropsis nitida;;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
660;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Gammaridae;Gammarus;;duebeni;;Gammarus duebeni;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X
